Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1493044690780,91.43,187.53,5.03,46.99,-69.43,-0.463679,94.85,0,0.0670793,-0.00573
1493044690792,91.33,187.59,5.12,46.89,-69.91,-0.309119,94.89,0,0.116623,0.0495437
1493044690808,91.18,187.64,5.07,46.83,-70.14,-0.772798,94.93,0,0.158109,0.041486
1493044690820,90.94,187.65,5.04,46.85,-70.43,-0.15456,94.97,0,0.240213,0.0821044
1493044690828,90.72,187.66,4.93,46.9,-70.55,0,95,0,0.220221,-0.019993
1493044690844,90.59,187.67,4.86,46.8,-70.59,-0.618238,95.03,0,0.13039,-0.0898308
1493044690856,90.53,187.61,4.74,46.79,-70.97,0,95.07,0,0.0848494,-0.0455403
1493044690880,90.52,187.53,4.63,46.51,-71.52,0,95.12,0,0.0806247,-0.0042247
1493044690892,90.56,187.38,4.45,46.43,-72.05,0.309119,95.17,0,0.155251,0.0746262
1493044690908,90.5,187.23,4.25,46.11,-72.3,0,95.21,0,0.161548,0.00629753
1493044690916,90.42,187.08,4.08,45.93,-72.46,-0.15456,95.24,0,0.169995,0.00844711
1493044690928,90.31,186.93,3.86,45.72,-72.82,0.463679,95.27,0,0.186018,0.016023
1493044690936,90.23,186.74,3.66,45.59,-72.98,-0.15456,95.3,0,0.206158,0.0201397
1493044690944,90.25,186.65,3.3,45.45,-73.17,0.463679,95.32,0,0.0921928,-0.113965
1493044690952,90.23,186.54,3.08,45.48,-73.22,0.15456,95.34,0,0.111805,0.019612
1493044690959,90.17,186.46,2.83,45.37,-73.18,0,95.36,0,0.1,-0.0118048
1493044690966,90.13,186.39,2.51,45.29,-73.24,0.15456,95.38,0,0.0806161,-0.0193839
1493044690972,90.12,186.28,2.33,45.23,-73.08,0.309119,95.4,0,0.110454,0.0298383
1493044690984,90.06,186.2,2.04,45.09,-73.12,0.15456,95.43,0,0.1,-0.0104544
1493044690992,90.08,186.12,1.85,45.09,-73.01,-0.309119,95.46,0,0.0824631,-0.0175369
1493044691000,90.05,186.11,1.59,45.04,-72.93,-0.15456,95.48,0,0.0316199,-0.0508432
1493044691016,90.1,186.09,1.32,45.21,-72.78,-0.15456,95.51,0,0.0538561,0.0222362
1493044691023,90.17,186.04,1.08,45.23,-72.74,0,95.54,0,0.0860248,0.0321687
1493044691030,90.25,186.01,0.96,45.18,-72.86,-0.309119,95.58,1,0.0854413,-0.000583455
1493044691044,90.39,186.02,0.83,45,-73.14,-0.463679,95.59,1,0.140356,0.0549144
1493044691056,90.53,186.04,0.73,45.02,-73.41,-0.309119,95.63,1,0.141421,0.00106566
1493044691072,90.5,186.08,0.56,44.99,-73.3,-0.15456,95.67,1,0.0500061,-0.0914152
1493044691080,90.36,186.06,0.39,44.98,-73.55,0.15456,95.7,1,0.141421,0.0914152
1493044691092,90.22,186.11,0.22,44.95,-73.77,0.463679,95.73,1,0.148661,0.00723979
1493044691108,90.09,186.24,0.13,45.14,-73.85,-0.15456,95.77,1,0.183844,0.0351827
1493044691120,89.95,186.47,0.03,45.12,-74.19,-0.618238,95.81,1,0.269267,0.0854234
1493044691128,89.76,186.66,-0.02,45.17,-74.12,-0.463679,95.84,1,0.268693,-0.000574052
1493044691144,89.6,186.84,-0.04,45.21,-74.27,0.309119,95.87,1,0.240835,-0.027858
1493044691156,89.46,187.01,0.01,45.4,-74.17,0.15456,95.91,1,0.220225,-0.0206098
1493044691172,89.35,187.2,0.03,45.49,-74.39,0.15456,95.95,1,0.219547,-0.000677943
1493044691184,89.4,187.37,0.04,45.39,-74.52,0.309119,95.99,1,0.1772,-0.0423478
1493044691192,89.58,187.44,0.13,45.4,-74.48,-0.309119,96.02,1,0.193128,0.0159284
1493044691228,89.62,187.54,0.08,44.6,-75.84,-0.309119,96.08,1,0.107695,-0.0854328
1493044691236,89.77,187.63,-0.22,44.46,-76.33,0.309119,96.14,1,0.174928,0.0672328
1493044691244,89.72,187.67,-0.49,44.25,-76.63,-0.15456,96.16,1,0.064033,-0.110895
1493044691252,89.75,187.69,-0.74,44.11,-77.04,-0.463679,96.18,1,0.0360569,-0.0279761
1493044691259,89.7,187.64,-0.94,43.77,-77.17,0,96.2,1,0.070715,0.0346581
1493044691266,89.64,187.58,-1.17,43.52,-77.53,0,96.22,1,0.0848494,0.0141344
1493044691273,89.5,187.51,-1.43,43.36,-77.85,-0.618238,96.24,1,0.156527,0.0716781
1493044691281,89.33,187.39,-1.71,43.13,-78.43,0.15456,96.26,1,0.208088,0.051561
1493044691288,89.21,187.28,-2.01,42.89,-78.67,0.463679,96.28,1,0.162785,-0.0453034
1493044691295,89.05,187.16,-2.28,42.77,-78.98,0,96.3,1,0.200009,0.0372241
1493044691302,89,187,-2.72,42.64,-79.29,0.15456,96.32,1,0.167618,-0.032391
1493044691309,88.9,186.86,-3.05,42.46,-79.58,0,96.34,1,0.172045,0.00442702
1493044691317,88.85,186.71,-3.31,42.47,-79.59,-0.309119,96.36,1,0.158124,-0.0139216
1493044691324,88.75,186.55,-3.64,42.2,-79.92,0.309119,96.38,1,0.188669,0.0305454
1493044691331,88.75,186.41,-3.94,41.99,-80.36,0,96.4,1,0.140015,-0.0486543
1493044691338,88.73,186.23,-4.18,41.87,-80.9,0.15456,96.42,1,0.181101,0.0410862
1493044691345,88.74,186.05,-4.44,41.74,-81.3,0.15456,96.44,1,0.18027,-0.000830516
1493044691352,88.76,185.89,-4.72,41.58,-81.91,-0.772798,96.46,1,0.161248,-0.019022
1493044691359,88.93,185.51,-5.04,41.47,-82.87,-0.15456,96.48,1,0.4163,0.255052
1493044691366,88.95,185.35,-5.36,41.36,-83.4,0.618238,96.5,1,0.161248,-0.255052
1493044691373,88.9,185.18,-5.71,41.23,-83.35,-0.15456,96.52,1,0.177197,0.015949
1493044691380,88.85,184.95,-6,41.13,-83.86,-0.309119,96.54,1,0.235369,0.0581711
1493044691388,88.81,184.74,-6.28,41.15,-84.1,-0.15456,96.56,1,0.213782,-0.0215862
1493044691396,88.71,184.54,-6.58,41.3,-84.49,-0.15456,96.58,1,0.223603,0.00982104
1493044691404,88.51,184.26,-6.89,41.28,-84.74,-0.463679,96.6,1,0.344095,0.120491
1493044691412,88.46,184.05,-7.16,41.23,-84.82,-0.15456,96.62,1,0.215861,-0.128234
1493044691420,88.67,183.67,-7.42,41.38,-84.73,0,96.64,1,0.43417,0.218309
1493044691427,88.64,183.44,-7.65,41.42,-84.47,0.463679,96.66,1,0.231944,-0.202226
1493044691434,88.72,183.16,-7.79,41.37,-84.84,-0.15456,96.68,1,0.291218,0.0592745
1493044691442,88.76,182.84,-7.9,41.47,-83.51,-0.309119,96.7,1,0.322482,0.0312632
1493044691450,88.85,182.56,-8.05,41.41,-83.14,0,96.72,1,0.294109,-0.0283727
1493044691457,89,182.29,-8.24,41.42,-82.71,0.15456,96.74,1,0.308873,0.0147645
1493044691463,89.22,181.95,-8.37,41.41,-82.34,0,96.76,1,0.404967,0.0960933
1493044691471,89.52,181.66,-8.52,41.48,-82.01,0.15456,96.78,1,0.417256,0.0122889
1493044691479,89.69,181.33,-8.72,41.64,-81.64,-0.463679,96.8,1,0.371201,-0.0460541
1493044691486,90.45,180.97,-9.02,41.63,-81.39,0.309119,96.82,1,0.840954,0.469753
1493044691492,90.77,180.81,-9.26,41.52,-81.14,0.309119,96.84,1,0.357772,-0.483182
1493044691500,91.11,180.61,-9.41,41.72,-80.43,0.15456,96.86,1,0.394464,0.0366913
1493044691506,91.41,180.43,-9.58,41.74,-80.2,0,96.88,1,0.349857,-0.0446062
1493044691514,91.7,180.24,-9.69,41.76,-80.21,0.15456,96.9,1,0.346701,-0.00315645
1493044691521,91.98,180.03,-9.74,41.75,-79.94,0,96.92,1,0.349994,0.00329307
1493044691527,92.22,179.88,-9.86,41.77,-79.77,-0.309119,96.94,1,0.283029,-0.066965
1493044691535,92.47,179.74,-10,41.84,-79.54,0,96.96,1,0.286531,0.00350174
1493044691542,92.86,179.52,-10.07,41.86,-79.37,-0.463679,96.98,1,0.447772,0.161242
1493044691550,93.04,179.42,-10.13,41.83,-79.23,-0.463679,97,1,0.205908,-0.241864
1493044691558,93.25,179.29,-10.22,42.02,-78.85,-0.15456,97.03,1,0.246984,0.0410752
1493044691566,93.5,179.19,-10.29,42.06,-78.6,0,97.06,1,0.269255,0.0222713
1493044691573,93.68,179.11,-10.26,42.1,-78.46,0.309119,97.08,1,0.196978,-0.0722767
1493044691584,93.91,179,-10.26,42.47,-78.11,0,97.11,1,0.254947,0.0579692
1493044691592,94.22,178.84,-10.2,42.54,-77.95,-0.618238,97.14,1,0.348862,0.0939142
1493044691608,94.45,178.73,-10.11,42.53,-77.68,-0.309119,97.17,1,0.254947,-0.0939142
1493044691616,94.7,178.62,-10.05,42.45,-77.49,-0.309119,97.2,1,0.27313,0.0181829
1493044691624,94.88,178.43,-9.93,42.38,-77.63,-0.618238,97.22,1,0.261727,-0.0114032
1493044691632,95.06,178.28,-9.83,42.29,-77.91,0,97.24,1,0.234304,-0.0274232
1493044691644,95.3,178.17,-9.79,42.35,-78.26,-0.15456,97.27,1,0.264006,0.0297021
1493044691652,95.5,178.12,-9.8,42.41,-78.33,0,97.3,1,0.20616,-0.0578454
1493044691680,95.4,178.22,-9.84,42.43,-78.02,-0.618238,97.35,1,0.141425,-0.0647359
1493044691687,94.98,178.27,-9.77,42.47,-77.95,-0.15456,97.4,0,0.42297,0.281545
1493044691700,94.94,178.26,-9.61,42.43,-78.11,-0.309119,97.43,0,0.0412306,-0.381739
1493044691716,95,178.32,-9.45,42.47,-78.54,0.309119,97.47,0,0.0848548,0.0436241
1493044691728,95.06,178.35,-9.3,42.33,-78.9,0,97.51,0,0.0670793,-0.0177754
1493044691752,94.92,178.38,-9.23,41.92,-79.31,-0.309119,97.56,0,0.143177,0.076098
1493044691758,94.49,178.35,-9.28,41.79,-79.39,-0.772798,97.6,0,0.431045,0.287868
1493044691765,94.31,178.4,-9.36,41.79,-79.52,-0.309119,97.62,0,0.186817,-0.244229
1493044691772,94.08,178.52,-9.48,41.75,-79.72,-0.15456,97.64,0,0.259423,0.0726066
1493044691780,93.93,178.66,-9.66,41.63,-79.94,-0.309119,97.66,0,0.205178,-0.0542452
1493044691787,93.78,178.77,-9.79,41.6,-80.05,0.15456,97.7,1,0.186012,-0.0191656
1493044691800,93.58,178.91,-9.9,41.36,-80.4,0.15456,97.71,1,0.244135,0.0581222
1493044691808,93.3,179.01,-9.97,41.23,-80.62,-0.309119,97.74,1,0.297322,0.0531878
1493044691820,93.03,179.1,-10.04,41.02,-80.91,-0.463679,97.77,1,0.284601,-0.0127216
1493044691828,92.76,179.21,-10.13,40.93,-81.16,-0.15456,97.8,1,0.291552,0.00695112
1493044691836,92.53,179.38,-10.25,40.84,-81.51,0,97.82,1,0.286002,-0.00554931
1493044691844,92.36,179.46,-10.34,40.79,-81.97,-0.463679,97.84,1,0.187882,-0.0981204
1493044691852,92.15,179.57,-10.48,40.59,-83.36,0.15456,97.86,1,0.237065,0.0491828
1493044691859,91.99,179.69,-10.58,40.5,-83.87,-0.463679,97.88,1,0.200009,-0.0370557
1493044691867,91.73,179.87,-10.74,40.45,-84.51,-0.15456,97.9,1,0.316225,0.116216
1493044691875,91.48,180.02,-10.85,40.43,-84.99,-0.772798,97.92,1,0.291544,-0.0246809
1493044691883,91.17,180.17,-10.92,40.63,-85.41,-0.15456,97.94,1,0.344385,0.0528408
1493044691890,90.81,180.3,-10.91,40.53,-85.33,-0.463679,97.96,1,0.382755,0.0383701
1493044691897,90.03,180.58,-10.89,40.56,-85.68,0,97.98,1,0.828732,0.445977
1493044691904,89.6,180.75,-10.81,40.51,-85.84,-0.309119,98,1,0.462385,-0.366348
1493044691912,89.13,180.9,-10.72,40.37,-86.53,0,98.02,1,0.493355,0.0309704
1493044691920,88.74,181.04,-10.58,40.38,-86.43,0.15456,98.04,1,0.414366,-0.078989
1493044691927,88.39,181.16,-10.37,40.4,-86.36,0.15456,98.06,1,0.369997,-0.0443692
1493044691934,88.24,181.4,-10.23,40.27,-86.29,-0.309119,98.08,1,0.283025,-0.0869721
1493044691941,87.95,181.56,-10.09,40.26,-86.14,-0.15456,98.1,0,0.331212,0.0481876
1493044691949,87.77,181.76,-10.01,40.19,-86.01,-0.309119,98.12,0,0.26907,-0.062142
1493044691957,87.38,182.08,-9.9,40.15,-85.85,0,98.14,0,0.504484,0.235414
1493044691963,87.31,182.24,-9.8,40.14,-85.65,-0.618238,98.16,0,0.174632,-0.329852
1493044691972,87.27,182.55,-9.73,40.08,-84.73,-0.463679,98.19,0,0.312583,0.137951
1493044691980,87.33,182.93,-9.69,40.05,-84.38,0.309119,98.22,0,0.384698,0.0721154
1493044691987,87.38,183.15,-9.64,40.08,-83.85,0,98.24,0,0.22561,-0.159088
1493044691994,87.45,183.36,-9.57,40.13,-83.5,-0.15456,98.26,0,0.221366,-0.00424476
1493044692002,87.59,183.57,-9.47,40.13,-82.81,-0.309119,98.28,0,0.252381,0.0310154
1493044692009,87.77,183.88,-9.26,40.07,-82.18,0.15456,98.3,0,0.358467,0.106086
1493044692016,87.97,184.04,-9.06,40.06,-81.37,-0.309119,98.32,0,0.256131,-0.102336
1493044692023,88.11,184.22,-8.92,40.03,-80.65,-0.309119,98.34,0,0.228041,-0.0280899
1493044692031,88.32,184.38,-8.77,40.07,-80.24,0,98.36,0,0.264,0.0359588
1493044692039,88.51,184.6,-8.69,40,-80.11,-0.772798,98.38,0,0.290686,0.0266865
1493044692048,88.79,184.77,-8.6,40,-80.18,-0.309119,98.4,0,0.327571,0.036885
1493044692055,89.04,184.97,-8.57,39.83,-80.19,-0.15456,98.42,0,0.320164,-0.00740749
1493044692062,89.37,185.17,-8.51,39.71,-80.45,-0.15456,98.44,0,0.385869,0.0657052
1493044692069,89.65,185.35,-8.5,39.62,-80.96,0,98.46,0,0.332868,-0.0530013
1493044692076,89.76,185.53,-8.48,39.51,-81.53,0.15456,98.48,0,0.210953,-0.121914
1493044692084,89.64,185.73,-8.66,39.4,-81.97,0,98.51,0,0.233233,0.0222796
1493044692092,89.35,185.91,-8.96,39.32,-82.14,-0.15456,98.54,0,0.341318,0.108085
1493044692100,89.04,185.99,-9.19,39.19,-82.22,0,98.56,0,0.320154,-0.0211636
1493044692108,88.62,186.04,-9.45,39.17,-82.34,0.463679,98.58,0,0.422972,0.102818
1493044692116,88.14,186.08,-9.73,39.03,-82.73,-0.309119,98.6,0,0.48166,0.0586884
1493044692124,87.78,186.14,-9.98,39.04,-83.1,-0.463679,98.62,0,0.364966,-0.116694
1493044692132,87.41,186.29,-10.21,38.99,-83.46,0,98.64,0,0.39925,0.0342836
1493044692139,87.16,186.33,-10.37,39.04,-83.92,0.15456,98.66,0,0.253181,-0.146068
1493044692146,86.96,186.39,-10.51,39.2,-84.53,0.15456,98.7,1,0.208803,-0.0443786
1493044692153,86.72,186.39,-10.54,39.24,-84.87,-0.15456,98.7,1,0.239998,0.0311954
1493044692161,86.37,186.37,-10.67,39.38,-85.3,0.15456,98.72,1,0.350577,0.110579
1493044692169,86.07,186.31,-10.69,39.38,-85.75,-0.463679,98.74,1,0.305936,-0.0446411
1493044692177,85.74,186.25,-10.68,39.49,-86.13,-0.309119,98.76,1,0.335412,0.0294754
1493044692184,85.36,186.13,-10.63,39.59,-86.53,0,98.78,1,0.398498,0.0630861
1493044692190,84.84,186.03,-10.51,39.66,-86.89,-0.309119,98.8,1,0.529531,0.131033
1493044692198,84.46,185.91,-10.44,39.69,-87.25,-0.309119,98.82,1,0.398498,-0.131033
1493044692206,84.06,185.76,-10.33,39.71,-87.45,-0.15456,98.84,1,0.427199,0.0287018
1493044692214,83.58,185.61,-10.29,39.71,-87.52,-0.15456,98.86,1,0.502886,0.0756863
1493044692221,83.2,185.48,-10.22,39.66,-87.33,-0.309119,98.88,1,0.401628,-0.101258
1493044692227,82.83,185.36,-10.13,39.65,-87.33,-0.463679,98.9,1,0.388967,-0.012661
1493044692235,82.48,185.27,-10.13,39.62,-87.27,0.15456,98.92,1,0.361395,-0.0275719
