Unix Timestamp,X,Y,Z,Phi,Theta,F,Ground,Touch,Speed,Acceeration
1492606881988,90.99,178.05,43.13,108.28,78.95,0.618238,-276.92,0,0.648837,-0.199926
1492606881995,90.69,177.22,42.81,109.17,79.54,1.08192,-276.9,0,0.882556,0.233719
1492606882003,90.38,176.67,42.7,109.87,79.91,0.772798,-276.88,0,0.631349,-0.251207
1492606882012,90.05,175.95,42.56,110.73,80.26,1.23648,-276.86,0,0.792025,0.160675
1492606882021,89.83,175.42,42.34,111.6,80.84,0.772798,-276.84,0,0.573846,-0.218179
1492606882027,89.68,174.86,42.18,112.28,81.12,0.927357,-276.82,0,0.579737,0.00589132
1492606882035,89.52,174.27,41.92,113.01,81.35,0.772798,-276.8,0,0.611322,0.0315849
1492606882042,89.17,173.55,41.64,113.63,81.51,0.772798,-276.78,0,0.800549,0.189227
1492606882050,88.97,172.91,41.33,114.13,81.89,0.618238,-276.76,0,0.670521,-0.130028
1492606882057,88.57,172.12,40.68,114.57,82.17,0.618238,-276.74,0,0.885503,0.214982
1492606882065,88.1,171.37,40.42,115.06,82.48,1.23648,-276.72,0,0.8851,-0.000402987
1492606882072,87.78,170.64,40.11,115.36,82.66,0.618238,-276.7,0,0.797053,-0.0880464
1492606882080,87.41,169.92,39.8,115.96,83.01,0.772798,-276.68,0,0.809508,0.0124553
1492606882086,87.09,169.09,39.56,116.43,83.27,0.772798,-276.66,0,0.889552,0.0800437
1492606882094,86.71,168.41,39.39,116.83,83.48,0.618238,-276.64,0,0.778966,-0.110586
1492606882101,86.38,167.79,39.14,117.21,83.78,0.772798,-276.62,0,0.702363,-0.0766028
1492606882108,86.24,167.15,38.9,117.66,84.19,1.08192,-276.6,0,0.655133,-0.0472304
1492606882115,86.08,166.63,38.52,118.28,84.41,0.772798,-276.58,0,0.544062,-0.111071
1492606882122,86.08,166.15,38.07,118.81,84.68,0.927357,-276.56,0,0.479996,-0.0640661
1492606882128,86.19,165.8,37.66,119.15,84.88,0.463679,-276.54,0,0.366868,-0.113128
1492606882135,86.35,165.55,37.28,119.61,85.18,1.23648,-276.52,0,0.296818,-0.0700495
1492606882141,86.5,165.37,36.85,119.92,85.34,0.772798,-276.5,0,0.234315,-0.0625038
1492606882148,86.61,165.21,36.4,120.1,85.43,0.927357,-276.48,0,0.194168,-0.0401463
1492606882155,86.79,165.01,35.83,120.36,85.66,0.927357,-276.46,0,0.26907,0.0749022
1492606882162,86.9,164.9,35.39,120.43,85.77,0.772798,-276.44,0,0.155564,-0.113506
1492606882168,87.15,164.91,34.79,120.37,85.9,0.618238,-276.42,0,0.2502,0.0946359
1492606882174,87.31,164.86,34.44,120.27,85.99,0.618238,-276.4,0,0.167628,-0.0825726
1492606882181,87.58,164.88,34.13,119.91,85.87,1.08192,-276.38,0,0.270743,0.103115
1492606882189,87.86,164.95,33.87,119.57,85.75,0.927357,-276.36,0,0.288618,0.0178748
1492606882195,88.12,165.04,33.74,119.2,85.6,0.618238,-276.34,0,0.27513,-0.013488
1492606882203,88.36,165.21,33.67,118.62,85.45,0.772798,-276.32,0,0.294112,0.0189823
1492606882210,88.68,165.38,33.67,118.13,85.39,1.23648,-276.3,0,0.362352,0.06824
