TimeStamp,X,Y,Z
14:44:0.356,-2,-3,-3
14:44:0.356,-1,0,-4
14:44:0.356,-2,6,-3
14:44:0.356,-1,-1,-3
14:44:0.356,0,-3,-3
14:44:0.356,1,-2,-1
14:44:0.356,1,-6,-3
14:44:0.356,-1,-4,-2
14:44:0.356,2,-1,-5
14:44:0.356,5,-1,-1
14:44:0.356,-2,1,-4
14:44:0.356,1,2,-3
14:44:0.356,-1,-3,-1
14:44:0.356,4,0,-1
14:44:0.356,4,-1,-2
14:44:0.356,3,-3,-1
14:44:0.356,-1,1,-2
14:44:0.356,4,-2,-2
14:44:0.356,3,-2,-3
14:44:0.356,-1,1,-2
14:44:0.356,4,-2,-3
14:44:0.356,0,-1,-2
14:44:0.356,-5,-1,-2
14:44:0.356,0,0,-3
14:44:0.356,2,-3,-3
14:44:0.356,0,0,-3
14:44:0.356,6,0,-3
14:44:0.356,2,-2,-3
14:44:0.356,2,1,-3
14:44:0.356,-1,5,-2
14:44:0.356,5,3,-3
14:44:0.356,-1,-1,-3
14:44:0.356,1,1,-2
14:44:0.356,1,0,-2
14:44:0.356,-2,3,-2
14:44:0.385,2,0,-2
14:44:0.385,-3,-5,-3
14:44:0.385,-2,1,-2
14:44:0.385,-1,-5,-2
14:44:0.386,1,2,-3
14:44:0.386,1,-3,-5
14:44:0.386,0,-2,-3
14:44:0.386,2,-2,-2
14:44:0.386,5,1,-2
14:44:0.386,0,-2,-3
14:44:0.386,2,1,-2
14:44:0.386,5,1,-1
14:44:0.386,1,0,-1
14:44:0.386,2,2,-4
14:44:0.386,0,1,-3
14:44:0.386,-1,0,-3
14:44:0.386,1,1,-4
14:44:0.386,0,-3,-1
14:44:0.386,-3,1,-2
14:44:0.386,-3,1,-1
14:44:0.386,-2,-2,-3
14:44:0.386,-2,0,-3
14:44:0.386,-2,-4,-4
14:44:0.386,2,-3,-4
14:44:0.386,0,-2,-4
14:44:0.386,0,-2,-4
14:44:0.386,-2,0,-4
14:44:0.386,3,-1,-4
14:44:0.386,3,0,-2
14:44:0.386,0,-2,-3
14:44:0.386,1,2,-3
14:44:0.413,4,-2,-5
14:44:0.414,-1,0,-2
14:44:0.414,3,2,-3
14:44:0.414,1,1,-3
14:44:0.414,2,2,-3
14:44:0.414,1,-5,-4
14:44:0.414,-2,-1,-3
14:44:0.414,-1,3,-3
14:44:0.414,-1,-2,-3
14:44:0.414,-1,-2,-2
14:44:0.414,-1,2,-2
14:44:0.414,1,-2,-2
14:44:0.414,-2,3,-3
14:44:0.414,-3,-5,-3
14:44:0.414,6,1,-4
14:44:0.414,-1,-1,-4
14:44:0.414,0,0,-4
14:44:0.414,-5,2,-2
14:44:0.414,2,1,-2
14:44:0.414,-1,1,-2
14:44:0.414,5,2,-2
14:44:0.414,2,0,-2
14:44:0.414,1,-3,-2
14:44:0.414,0,1,-3
14:44:0.414,2,-3,-4
14:44:0.414,5,-5,-4
14:44:0.414,2,-7,-3
14:44:0.414,-2,-3,-3
14:44:0.446,4,-3,-3
14:44:0.446,-1,-5,-1
14:44:0.446,-3,-1,-2
14:44:0.446,4,-2,-3
14:44:0.446,-2,-3,-2
14:44:0.446,2,0,-4
14:44:0.446,1,2,-3
14:44:0.446,4,0,-4
14:44:0.446,1,-2,-2
14:44:0.446,2,1,-2
14:44:0.446,1,1,-2
14:44:0.446,2,-3,-1
14:44:0.446,0,1,-3
14:44:0.446,-3,0,-3
14:44:0.446,-1,-1,-3
14:44:0.446,1,-3,-4
14:44:0.446,-1,-2,-2
14:44:0.446,0,-2,-3
14:44:0.446,2,2,-2
14:44:0.446,1,-1,-3
14:44:0.446,2,0,-1
14:44:0.446,2,-1,-1
14:44:0.446,-2,-1,-3
14:44:0.447,0,1,-2
14:44:0.447,4,0,-3
14:44:0.447,2,0,-4
14:44:0.447,-1,-2,-2
14:44:0.447,-3,1,-4
14:44:0.447,-1,3,-2
14:44:0.447,0,-3,-3
14:44:0.447,-3,-1,-1
14:44:0.447,-1,2,-2
14:44:0.477,0,-1,-2
14:44:0.477,0,-6,-3
14:44:0.477,-2,-8,-2
14:44:0.477,4,0,-3
14:44:0.478,2,-7,-3
14:44:0.478,1,-3,-4
14:44:0.478,2,0,-1
14:44:0.478,4,-3,-1
14:44:0.478,1,0,-2
14:44:0.478,0,1,-1
14:44:0.478,5,-1,-2
14:44:0.478,0,-1,-3
14:44:0.478,5,0,-3
14:44:0.478,0,4,-3
14:44:0.478,4,2,-2
14:44:0.478,1,-4,-1
14:44:0.478,-2,0,-2
14:44:0.478,-4,2,0
14:44:0.478,-4,-2,0
14:44:0.478,2,1,-1
14:44:0.478,1,0,-3
14:44:0.478,0,1,-3
14:44:0.478,5,2,-4
14:44:0.478,-3,2,-1
14:44:0.478,-2,4,-3
14:44:0.478,2,0,-4
14:44:0.478,1,-5,-3
14:44:0.478,-3,1,-2
14:44:0.478,-2,0,-1
14:44:0.478,1,1,-3
14:44:0.478,-3,-1,-2
14:44:0.478,3,-2,-4
