TimeStamp,X,Y,Z
13:15:38.267,-1,-5,-1
13:15:38.267,-4,-1,-1
13:15:38.267,-3,-2,2
13:15:38.267,-2,-5,-1
13:15:38.267,-6,-2,-2
13:15:38.267,-6,0,0
13:15:38.267,-2,-1,-1
13:15:38.268,-1,-5,-1
13:15:38.268,-5,-5,-2
13:15:38.268,-1,-3,1
13:15:38.268,-4,-3,1
13:15:38.268,4,-2,-1
13:15:38.268,-1,-1,-2
13:15:38.268,-5,-5,-2
13:15:38.268,-6,-3,-1
13:15:38.268,-4,1,0
13:15:38.268,-3,2,0
13:15:38.268,-3,-4,-1
13:15:38.268,-6,-4,0
13:15:38.268,-3,-3,-1
13:15:38.268,-4,-6,0
13:15:38.268,-9,-3,0
13:15:38.268,-2,-5,-1
13:15:38.268,-6,0,0
13:15:38.268,-3,-7,0
13:15:38.268,-3,-8,-1
13:15:38.268,-5,-3,0
13:15:38.268,4,-4,0
13:15:38.268,0,-4,2
13:15:38.268,-2,-3,1
13:15:38.296,-1,-1,-2
13:15:38.297,-2,-5,1
13:15:38.297,-4,-5,0
13:15:38.297,-3,4,1
13:15:38.297,1,-2,-1
13:15:38.297,-8,-2,-1
13:15:38.297,-6,-1,0
13:15:38.297,-3,-5,-1
13:15:38.297,-4,-6,2
13:15:38.297,-2,-4,-1
13:15:38.297,-1,-5,-1
13:15:38.297,-2,-6,-1
13:15:38.297,-1,-1,0
13:15:38.297,-3,-1,0
13:15:38.297,-4,-3,0
13:15:38.297,3,-4,-1
13:15:38.297,0,-8,0
13:15:38.297,-4,2,1
13:15:38.297,1,0,-1
13:15:38.297,-1,-4,2
13:15:38.297,-4,-4,2
13:15:38.297,-1,-3,-2
13:15:38.297,-1,-4,-1
13:15:38.297,-10,-4,-1
13:15:38.297,-4,-3,1
13:15:38.297,-2,0,-1
13:15:38.297,-3,-3,-1
13:15:38.297,-2,-2,-1
13:15:38.297,-1,-2,0
13:15:38.297,2,-6,0
13:15:38.327,-6,-4,1
13:15:38.328,1,-1,0
13:15:38.328,0,-2,0
13:15:38.328,-2,-5,-2
13:15:38.328,-5,-3,0
13:15:38.328,-2,-1,2
13:15:38.328,-1,-3,-1
13:15:38.328,-9,-4,-2
13:15:38.328,-1,-3,-1
13:15:38.328,-4,-3,1
13:15:38.328,-3,-3,2
13:15:38.328,-3,-5,-2
13:15:38.328,-1,-2,-1
13:15:38.328,-2,-7,-1
13:15:38.328,0,-6,-1
13:15:38.328,-8,-3,-1
13:15:38.328,-3,-3,-1
13:15:38.328,-1,-1,1
13:15:38.328,-5,-4,-1
13:15:38.328,-2,-1,-1
13:15:38.328,-6,-3,0
13:15:38.328,1,-5,-1
13:15:38.328,-2,2,-1
13:15:38.328,-2,-1,1
13:15:38.328,-3,-4,0
13:15:38.328,-3,-2,1
13:15:38.328,-6,-2,0
13:15:38.328,0,-2,0
13:15:38.328,-2,-2,0
13:15:38.328,-3,-1,-1
13:15:38.328,-1,-5,-2
13:15:38.328,-2,-6,0
13:15:38.360,-3,-4,-2
13:15:38.360,-5,-2,-2
13:15:38.360,-3,-1,-1
13:15:38.360,-4,-1,-1
13:15:38.360,-4,-4,1
13:15:38.360,-5,-3,0
13:15:38.360,-1,-2,0
13:15:38.360,-1,-2,1
13:15:38.360,-5,-5,0
13:15:38.360,-1,-4,0
13:15:38.360,-6,-4,-1
13:15:38.360,-2,-3,0
13:15:38.360,-6,1,0
13:15:38.360,3,-4,0
13:15:38.360,-5,-4,0
13:15:38.360,-3,-3,0
13:15:38.361,-6,-3,0
13:15:38.361,-6,-5,-1
13:15:38.361,-1,-4,0
13:15:38.361,2,-1,-1
13:15:38.361,1,-7,-1
13:15:38.361,-1,-4,-2
13:15:38.361,-4,-3,-1
13:15:38.361,2,-3,0
13:15:38.361,0,-2,1
13:15:38.361,-4,-5,-1
13:15:38.361,-8,-1,0
13:15:38.361,-3,-3,1
13:15:38.361,0,-3,0
13:15:38.361,-3,-2,0
13:15:38.361,0,-4,1
13:15:38.389,-5,-5,0
13:15:38.389,-8,-4,-1
13:15:38.389,-3,-7,-1
13:15:38.389,-5,-5,0
13:15:38.389,-3,-5,-2
13:15:38.389,-1,-6,-1
13:15:38.389,-7,-1,0
13:15:38.389,-1,-3,-1
13:15:38.389,-3,-2,0
13:15:38.389,-2,-4,0
13:15:38.389,-1,-4,-1
13:15:38.389,-2,-4,0
13:15:38.389,-5,-1,0
13:15:38.389,-1,-5,0
13:15:38.389,-1,-2,1
13:15:38.389,-1,-3,1
13:15:38.389,-3,-2,0
13:15:38.389,0,-4,0
13:15:38.389,-7,-5,-1
13:15:38.389,-6,-4,-2
13:15:38.389,-3,-4,0
13:15:38.389,-5,-7,1
13:15:38.389,-4,-7,1
13:15:38.389,-3,-2,1
13:15:38.389,-2,-4,-2
13:15:38.389,-2,-3,0
13:15:38.389,-4,-3,-1
13:15:38.389,0,-3,-1
13:15:38.389,-5,-5,0
13:15:38.389,3,-4,-3
13:15:38.424,-1,-2,-1
13:15:38.424,-4,-4,1
13:15:38.424,1,-3,1
13:15:38.424,-1,-3,-1
13:15:38.424,-2,0,1
13:15:38.424,-4,-4,0
13:15:38.424,-1,-2,0
13:15:38.424,-2,-2,1
13:15:38.424,-1,-5,0
13:15:38.424,-3,-7,-2
13:15:38.424,-9,-1,-1
13:15:38.424,-2,-3,1
13:15:38.424,-1,0,-1
13:15:38.424,0,-5,0
13:15:38.424,0,1,0
13:15:38.424,0,-1,-1
13:15:38.424,1,-2,1
13:15:38.425,-3,2,0
13:15:38.425,3,-3,0
13:15:38.425,-4,-4,-1
13:15:38.425,-8,-6,2
13:15:38.425,-3,-4,-2
13:15:38.425,-2,-2,-1
13:15:38.425,-4,-2,1
13:15:38.425,-4,-4,-2
13:15:38.425,-3,-1,-2
13:15:38.425,-4,-2,0
13:15:38.425,-2,-2,0
13:15:38.425,-4,-6,-1
13:15:38.425,0,-2,0
13:15:38.425,-5,-5,0
13:15:38.425,-5,-5,1
13:15:38.425,-6,-4,-1
13:15:38.425,4,-5,0
13:15:38.425,0,-2,0
13:15:38.453,-4,-1,1
13:15:38.454,-2,-1,-1
13:15:38.454,-3,-3,0
13:15:38.454,-4,-4,2
13:15:38.454,-1,2,0
13:15:38.454,0,-3,0
13:15:38.454,-1,-1,-1
13:15:38.454,0,-4,-1
13:15:38.454,-4,-2,0
13:15:38.454,-2,-5,2
13:15:38.454,-6,-1,1
13:15:38.454,1,-3,-1
13:15:38.454,-4,-4,-2
13:15:38.454,-2,-2,0
13:15:38.454,0,0,-1
13:15:38.454,-1,2,-2
13:15:38.454,3,-5,-2
13:15:38.454,-3,-4,0
13:15:38.454,-2,-4,1
13:15:38.454,-1,-4,2
13:15:38.454,-2,-2,0
13:15:38.454,-2,-1,0
13:15:38.454,-1,-5,0
13:15:38.454,-2,-6,1
13:15:38.454,-10,-5,-1
13:15:38.454,-4,-3,-2
13:15:38.454,-5,1,-1
13:15:38.454,-5,-5,0
13:15:38.454,-5,-5,0
13:15:38.454,-3,-5,0
13:15:38.485,-3,-1,-1
13:15:38.486,-2,0,-1
13:15:38.486,0,0,-1
13:15:38.486,-1,-6,0
13:15:38.486,-3,-4,0
13:15:38.486,-1,-1,-1
13:15:38.486,-4,-4,-1
13:15:38.486,2,-1,0
13:15:38.486,-6,-3,0
13:15:38.486,-2,-3,0
13:15:38.486,-2,-5,-1
13:15:38.486,-2,-2,-1
13:15:38.486,-2,-6,-2
13:15:38.486,-5,0,-1
13:15:38.486,-2,-7,-2
13:15:38.486,-3,-5,-1
13:15:38.486,-5,-3,-1
13:15:38.486,-4,-4,1
13:15:38.486,-1,-2,2
13:15:38.486,-3,-2,0
13:15:38.486,-1,-2,0
13:15:38.486,-2,-3,0
13:15:38.486,-1,-1,0
13:15:38.486,-4,5,-1
13:15:38.486,-1,1,-1
13:15:38.486,-5,-1,-3
13:15:38.486,-3,-2,1
13:15:38.486,-7,-3,1
13:15:38.486,-6,-3,1
13:15:38.486,-1,-3,1
13:15:38.486,-5,-4,0
13:15:38.486,-6,-7,-1
13:15:38.513,-5,-5,-2
13:15:38.513,-7,1,0
13:15:38.513,-4,1,-1
13:15:38.514,0,-6,0
13:15:38.514,-5,-4,0
13:15:38.514,-4,-2,1
13:15:38.514,-1,-5,2
13:15:38.514,-5,-3,-1
13:15:38.514,-3,-6,0
13:15:38.514,-5,-1,0
13:15:38.514,-4,-2,-1
