TimeStamp,X,Y,Z
15:16:40.423,-9,2,0
15:16:40.423,-4,1,-1
15:16:40.423,-10,1,-1
15:16:40.423,-4,0,-2
15:16:40.423,-8,5,-1
15:16:40.423,-6,5,0
15:16:40.423,-5,2,0
15:16:40.423,-2,0,0
15:16:40.423,-5,1,-2
15:16:40.423,-6,-1,1
15:16:40.423,-5,2,0
15:16:40.423,-11,1,1
15:16:40.423,-1,-3,1
15:16:40.423,-6,-1,0
15:16:40.423,-12,-2,0
15:16:40.423,-7,-1,-1
15:16:40.424,-7,3,0
15:16:40.424,-6,-3,1
15:16:40.424,-7,2,0
15:16:40.424,-7,2,1
15:16:40.424,-6,0,0
15:16:40.424,-4,-1,1
15:16:40.424,-2,1,1
15:16:40.424,-3,2,-1
15:16:40.424,-6,-2,-1
15:16:40.424,-5,4,-1
15:16:40.424,-7,4,0
15:16:40.424,-8,-1,1
15:16:40.424,-9,2,0
15:16:40.424,-4,3,0
15:16:40.455,-4,0,-2
15:16:40.455,-9,1,0
15:16:40.455,-6,-3,-1
15:16:40.455,-5,4,-2
15:16:40.455,-10,2,0
15:16:40.455,-9,-2,-1
15:16:40.455,-10,4,0
15:16:40.455,-3,2,0
15:16:40.455,-7,3,1
15:16:40.455,-5,3,-2
15:16:40.455,-6,6,1
15:16:40.455,-5,2,0
15:16:40.455,-7,3,0
15:16:40.455,-6,3,-1
15:16:40.455,-2,-2,-2
15:16:40.455,-5,-2,-1
15:16:40.455,-11,0,1
15:16:40.455,-8,1,1
15:16:40.455,-10,-4,0
15:16:40.455,-6,-1,-1
15:16:40.455,-5,1,-1
15:16:40.455,-10,0,-1
15:16:40.455,-6,-4,-1
15:16:40.455,-7,2,-1
15:16:40.456,-8,-1,0
15:16:40.456,-4,0,0
15:16:40.456,-6,0,0
15:16:40.456,-8,4,0
15:16:40.456,-11,3,0
15:16:40.456,-4,-3,1
15:16:40.456,-8,4,1
15:16:40.456,-4,3,1
15:16:40.456,-5,0,0
15:16:40.486,-11,1,-1
15:16:40.487,-5,1,-2
15:16:40.487,-6,4,0
15:16:40.487,-6,-1,0
15:16:40.487,-8,1,1
15:16:40.487,-8,0,-2
15:16:40.487,-6,-1,0
15:16:40.487,-7,1,0
15:16:40.487,-9,1,0
15:16:40.487,0,-1,-2
15:16:40.487,-6,-5,0
15:16:40.487,-8,1,0
15:16:40.487,-6,0,1
15:16:40.487,-3,5,-1
15:16:40.487,-1,2,1
15:16:40.487,-6,0,1
15:16:40.487,-6,1,0
15:16:40.487,-4,1,0
15:16:40.487,-12,-1,0
15:16:40.487,-8,1,-2
15:16:40.487,-4,2,1
15:16:40.487,-2,1,-2
15:16:40.487,-8,2,2
15:16:40.487,-8,3,-2
15:16:40.487,-6,-1,0
15:16:40.487,-8,-2,-1
15:16:40.487,-7,3,0
15:16:40.487,-6,-2,1
15:16:40.487,-2,1,-1
15:16:40.487,-8,6,-1
15:16:40.487,-2,3,-1
15:16:40.487,-8,1,-1
15:16:40.516,-5,-3,1
15:16:40.516,-9,-3,0
15:16:40.516,-8,-4,0
15:16:40.516,-5,-2,-1
15:16:40.516,-10,0,0
15:16:40.516,-6,0,-1
15:16:40.516,-2,-2,-1
15:16:40.516,-12,3,1
15:16:40.516,-5,1,-1
15:16:40.516,-6,2,-1
15:16:40.516,-7,-1,-1
15:16:40.516,-8,-2,-1
15:16:40.516,-9,3,0
15:16:40.516,-8,2,0
15:16:40.516,-3,-1,-1
15:16:40.516,-8,3,0
15:16:40.516,-5,-1,-1
15:16:40.516,-11,0,-1
15:16:40.516,-7,-1,-1
15:16:40.516,-7,6,-1
15:16:40.516,-2,-1,0
15:16:40.516,-6,-4,0
15:16:40.516,-6,2,-1
15:16:40.516,-7,0,0
15:16:40.516,-10,2,-2
15:16:40.516,-6,-2,-2
15:16:40.516,-2,3,-1
15:16:40.516,-2,-2,-1
15:16:40.548,-4,-1,0
15:16:40.548,-11,3,2
15:16:40.548,-4,4,1
15:16:40.548,-5,3,0
15:16:40.548,-6,1,-1
15:16:40.548,-6,4,1
15:16:40.548,-4,0,1
15:16:40.548,-7,2,1
15:16:40.548,-8,1,0
15:16:40.548,-7,-2,1
15:16:40.548,-2,2,-2
15:16:40.548,-11,1,-2
15:16:40.548,-7,0,0
15:16:40.548,-2,1,0
15:16:40.548,-8,3,-1
15:16:40.548,-4,1,-1
15:16:40.548,-7,3,-1
15:16:40.548,-6,3,0
15:16:40.548,-6,6,0
15:16:40.548,-4,1,-1
15:16:40.548,-5,-1,-1
15:16:40.548,-7,-4,0
15:16:40.549,-6,1,0
15:16:40.549,-2,2,0
15:16:40.549,-3,1,1
15:16:40.549,-6,0,1
15:16:40.549,-5,1,1
15:16:40.549,-5,-3,-1
15:16:40.549,-11,2,-1
15:16:40.549,-6,2,-2
15:16:40.549,-6,3,-1
15:16:40.549,-4,-2,0
15:16:40.549,-4,-1,-1
15:16:40.578,-6,-3,0
15:16:40.578,-5,0,-1
15:16:40.578,-6,1,0
15:16:40.578,-7,-1,0
15:16:40.578,-6,1,-1
15:16:40.578,-4,-1,0
15:16:40.578,-4,2,-1
15:16:40.578,-6,8,0
15:16:40.578,-2,2,2
15:16:40.578,-8,2,0
15:16:40.578,-1,2,-2
15:16:40.578,-4,4,-1
15:16:40.578,-6,-1,0
15:16:40.578,-8,-2,0
15:16:40.578,-7,1,-2
15:16:40.578,-3,0,-1
15:16:40.578,-7,0,0
15:16:40.578,-8,2,-1
15:16:40.578,-3,3,0
15:16:40.578,-7,3,0
15:16:40.578,-4,2,0
15:16:40.578,-6,5,-1
15:16:40.578,-5,3,0
15:16:40.578,-6,1,1
15:16:40.578,-6,6,-1
15:16:40.578,-1,0,-1
15:16:40.578,-6,-2,0
15:16:40.578,-12,1,-1
15:16:40.578,-9,4,-1
15:16:40.578,-7,0,-1
15:16:40.612,-8,1,-1
15:16:40.612,-8,3,0
15:16:40.612,-8,2,-2
15:16:40.612,-6,0,-1
15:16:40.612,-8,-1,0
15:16:40.612,-4,-2,-2
15:16:40.612,-6,0,-1
15:16:40.612,-7,-1,-1
15:16:40.612,-8,2,0
15:16:40.612,-8,0,0
15:16:40.612,-5,2,1
15:16:40.612,-10,3,0
15:16:40.613,-5,2,0
15:16:40.613,-5,5,0
15:16:40.613,-10,-2,-1
15:16:40.613,-4,-1,-1
15:16:40.613,-7,3,0
15:16:40.613,-5,-1,1
15:16:40.613,-9,-1,1
15:16:40.613,-11,-3,-1
15:16:40.613,-9,-2,0
15:16:40.613,-8,0,1
15:16:40.613,-8,3,-1
15:16:40.613,-2,2,-1
15:16:40.613,-5,0,0
15:16:40.613,-7,1,-1
15:16:40.613,-6,2,1
15:16:40.613,-5,5,1
15:16:40.613,1,2,0
15:16:40.613,-4,3,-1
15:16:40.613,-5,1,0
15:16:40.613,-3,2,0
15:16:40.613,-7,1,0
15:16:40.613,-8,2,-3
15:16:40.639,-6,0,-1
15:16:40.640,-3,2,-1
15:16:40.640,-11,1,-1
15:16:40.640,-2,-1,-1
15:16:40.640,-6,1,0
15:16:40.640,-6,-2,0
15:16:40.640,-6,2,0
15:16:40.640,-8,-1,0
15:16:40.640,-6,1,-1
15:16:40.640,-3,3,0
15:16:40.640,-2,4,0
15:16:40.640,-7,1,-2
15:16:40.640,-5,-2,1
15:16:40.640,-7,-1,0
15:16:40.640,-8,-1,0
15:16:40.640,-3,3,0
15:16:40.640,-10,1,-1
15:16:40.640,-6,2,-2
15:16:40.640,-8,-2,-1
15:16:40.640,-11,4,0
15:16:40.640,-8,2,-2
15:16:40.640,-7,-2,-3
15:16:40.640,-8,0,2
15:16:40.640,-9,0,2
15:16:40.640,-5,-1,-1
15:16:40.640,-7,2,0
15:16:40.640,-1,2,0
15:16:40.640,-11,2,0
15:16:40.672,-4,3,-1
15:16:40.672,-7,3,-1
15:16:40.672,-3,-1,1
15:16:40.672,-7,5,1
15:16:40.672,-4,-3,-1
15:16:40.672,-1,-1,-1
15:16:40.672,-6,2,0
15:16:40.672,-7,0,0
15:16:40.672,-11,-2,-1
15:16:40.672,-7,3,0
15:16:40.672,-3,0,-1
15:16:40.672,-4,-4,-2
15:16:40.672,-2,-1,-2
15:16:40.672,-7,5,-2
15:16:40.672,-6,2,0
15:16:40.672,-4,1,0
15:16:40.672,-5,2,0
15:16:40.672,-8,7,-1
15:16:40.672,-5,3,0
15:16:40.672,-3,0,1
15:16:40.672,-7,2,0
15:16:40.672,-3,1,1
15:16:40.672,-4,-1,0
15:16:40.672,-10,-2,0
15:16:40.672,-4,-4,1
15:16:40.672,-7,3,-1
15:16:40.672,-9,1,-1
15:16:40.672,-6,1,0
15:16:40.672,-8,0,-1
15:16:40.672,-3,-1,0
15:16:40.672,-4,2,1
15:16:40.672,-6,5,0
15:16:40.701,-4,1,-1
15:16:40.701,-8,-1,0
15:16:40.701,-10,0,0
15:16:40.702,-3,0,1
15:16:40.702,-11,0,0
15:16:40.702,-4,2,0
15:16:40.702,-5,1,1
15:16:40.702,-6,0,0
15:16:40.702,-10,0,1
15:16:40.702,-10,-3,-2
15:16:40.702,-4,1,-2
15:16:40.702,-9,-4,-1
15:16:40.702,-9,-1,1
15:16:40.702,-6,-4,-1
15:16:40.702,-3,0,0
15:16:40.702,-6,-2,-1
15:16:40.702,-7,0,0
15:16:40.702,-5,2,-1
15:16:40.702,-4,1,-1
15:16:40.702,-4,2,-1
15:16:40.702,-8,6,-1
15:16:40.702,-4,-1,0
15:16:40.702,-9,0,0
15:16:40.702,-2,-1,0
15:16:40.702,-6,0,0
15:16:40.702,-8,0,1
15:16:40.702,-7,-2,0
15:16:40.702,-7,4,-2
15:16:40.702,-3,-3,-1
15:16:40.702,-6,-4,-2
15:16:40.736,-10,5,-1
15:16:40.736,-3,2,0
15:16:40.737,-6,0,1
15:16:40.737,-6,4,-2
15:16:40.737,-4,0,0
15:16:40.737,-4,4,1
15:16:40.737,-4,1,0
15:16:40.737,-3,4,0
15:16:40.737,-2,5,0
15:16:40.737,-7,1,-2
15:16:40.737,-9,1,0
15:16:40.737,-8,3,0
15:16:40.737,-7,1,1
15:16:40.737,-5,3,0
15:16:40.737,-9,1,-1
15:16:40.737,-9,2,-2
15:16:40.737,-6,2,0
15:16:40.737,-8,0,-1
15:16:40.737,-7,-2,-3
15:16:40.737,-3,3,-1
15:16:40.737,-7,-3,-2
15:16:40.737,-7,3,1
15:16:40.737,-6,-1,0
15:16:40.737,-1,-2,-1
15:16:40.737,-8,2,2
15:16:40.737,-3,-1,-1
15:16:40.737,-3,0,0
15:16:40.737,-13,1,-2
15:16:40.737,-6,1,0
15:16:40.737,-7,0,-1
15:16:40.737,-4,-2,-1
15:16:40.737,-3,-2,-1
15:16:40.737,-11,1,0
15:16:40.737,-6,2,-1
15:16:40.737,-10,4,1
15:16:40.765,-6,5,-1
15:16:40.765,-6,2,-1
15:16:40.765,-6,-2,-1
15:16:40.765,-7,4,-1
15:16:40.765,-5,7,-1
15:16:40.765,-3,2,1
15:16:40.765,-12,0,0
15:16:40.765,-6,0,-1
15:16:40.765,-7,1,-1
15:16:40.765,-5,-1,1
15:16:40.765,-6,-1,0
15:16:40.765,-9,3,-3
15:16:40.765,-6,0,0
15:16:40.765,-5,-4,-1
15:16:40.765,-10,3,-2
15:16:40.765,-9,3,-1
15:16:40.765,-5,0,-2
15:16:40.765,-5,-1,-1
15:16:40.765,-7,2,0
15:16:40.765,-1,0,-1
15:16:40.765,-4,1,-1
15:16:40.765,-10,7,-2
15:16:40.765,1,0,0
15:16:40.765,-7,-1,-2
15:16:40.765,-5,-1,1
15:16:40.765,-7,3,0
15:16:40.765,-6,-3,0
15:16:40.765,-4,2,1
15:16:40.796,-9,1,0
15:16:40.796,-6,0,-2
15:16:40.796,-4,-1,-2
15:16:40.797,-8,2,-3
15:16:40.797,-8,0,-1
15:16:40.797,-2,0,-2
15:16:40.797,-6,2,-1
15:16:40.797,-6,1,-2
15:16:40.797,-4,3,0
15:16:40.797,-4,2,0
15:16:40.797,-4,3,-1
15:16:40.797,-3,1,-1
15:16:40.797,-5,2,-1
15:16:40.797,-8,-1,-1
15:16:40.797,-6,-3,0
15:16:40.797,-8,4,-1
15:16:40.797,-8,-1,0
15:16:40.797,-7,0,-2
15:16:40.797,-7,3,1
15:16:40.797,-7,-1,-2
15:16:40.797,-7,-1,-1
15:16:40.797,-11,0,0
15:16:40.797,-4,3,-2
15:16:40.797,-8,-2,-1
15:16:40.797,-10,1,-2
15:16:40.797,-6,1,-2
15:16:40.797,-5,2,0
15:16:40.797,-10,0,1
15:16:40.797,-7,1,0
15:16:40.797,-5,0,0
15:16:40.797,-6,0,1
15:16:40.829,-6,2,0
15:16:40.829,-5,1,-1
15:16:40.829,-6,1,-1
15:16:40.829,-7,-3,1
15:16:40.829,-12,1,-1
15:16:40.829,-4,0,-2
15:16:40.829,-9,-5,1
15:16:40.829,-8,-2,0
15:16:40.829,-6,4,1
15:16:40.829,-6,0,-2
15:16:40.829,0,0,-1
15:16:40.829,-7,4,1
15:16:40.829,-8,3,0
15:16:40.829,-1,4,0
15:16:40.829,-1,1,-1
15:16:40.829,-8,5,-1
15:16:40.829,-6,0,1
15:16:40.829,-9,0,-2
15:16:40.829,-6,1,0
15:16:40.829,-3,-1,-1
15:16:40.829,-5,0,-1
15:16:40.829,-11,1,-1
15:16:40.829,-10,3,-1
15:16:40.829,-6,1,-2
15:16:40.829,-7,0,-1
15:16:40.829,-9,3,0
15:16:40.829,-5,3,0
15:16:40.829,-4,4,0
15:16:40.829,-8,2,0
15:16:40.829,-4,1,1
15:16:40.829,-5,1,-1
15:16:40.829,-9,-1,-2
15:16:40.829,-7,3,-1
15:16:40.858,-5,4,-2
15:16:40.858,-5,0,0
15:16:40.858,-7,2,-1
15:16:40.859,-5,3,-2
15:16:40.859,-7,0,-1
15:16:40.859,-10,0,0
15:16:40.859,-8,-2,-1
15:16:40.859,-6,0,-2
15:16:40.859,-6,1,-1
15:16:40.859,-7,-1,-1
15:16:40.859,-13,1,0
15:16:40.859,-5,1,-1
15:16:40.859,-7,1,0
15:16:40.859,-5,-3,-1
15:16:40.859,-5,3,0
15:16:40.859,-2,-1,-1
15:16:40.859,-4,2,-1
15:16:40.859,-8,3,1
15:16:40.859,-4,4,-1
15:16:40.859,-5,-2,-1
15:16:40.859,-10,0,-1
15:16:40.859,-12,0,0
15:16:40.859,-7,-2,1
15:16:40.859,-5,-2,-1
15:16:40.859,-4,1,0
15:16:40.859,-4,1,-2
15:16:40.859,-3,-2,-1
15:16:40.859,-4,1,-2
15:16:40.859,-3,0,-2
15:16:40.887,-3,2,-1
15:16:40.887,-8,-3,0
15:16:40.887,-8,4,-2
15:16:40.887,-3,-3,1
15:16:40.887,-3,3,1
15:16:40.887,-6,3,-1
15:16:40.887,-4,-1,0
15:16:40.887,-5,0,-1
15:16:40.887,-10,-1,-2
15:16:40.887,-10,2,-2
15:16:40.887,-2,6,-2
15:16:40.887,-3,-2,0
15:16:40.887,-2,4,-1
15:16:40.887,-6,4,0
15:16:40.887,-6,2,0
15:16:40.887,-5,2,-1
15:16:40.887,-2,4,1
15:16:40.887,-3,2,0
15:16:40.887,-5,-2,-2
15:16:40.887,-4,4,-2
15:16:40.887,-5,4,0
15:16:40.887,-3,3,1
15:16:40.887,-4,1,-2
15:16:40.887,-4,0,1
15:16:40.887,-7,1,-1
15:16:40.887,-8,0,0
15:16:40.887,-9,0,0
15:16:40.887,-6,2,-2
15:16:40.887,-5,1,1
15:16:40.887,-5,-2,-1
15:16:40.887,-7,0,-1
15:16:40.921,-4,3,0
15:16:40.921,-5,0,0
15:16:40.921,-8,1,-1
15:16:40.921,-6,3,0
15:16:40.921,-4,3,-2
15:16:40.921,-4,2,-1
15:16:40.921,-5,5,0
15:16:40.921,-6,2,0
15:16:40.921,-7,0,-1
15:16:40.921,-13,0,0
15:16:40.921,-3,4,0
15:16:40.921,-8,1,-1
15:16:40.921,-7,1,1
15:16:40.921,-11,2,1
15:16:40.921,-4,3,-1
15:16:40.921,-7,-2,-1
15:16:40.921,-9,1,-2
15:16:40.921,-9,-1,0
15:16:40.921,-3,3,-3
15:16:40.921,-6,-4,-1
15:16:40.921,-9,2,0
15:16:40.921,-6,0,-1
15:16:40.921,-5,-1,0
15:16:40.921,-5,1,-1
15:16:40.921,-8,1,0
15:16:40.922,-4,0,-1
15:16:40.922,-11,-1,-2
15:16:40.922,-5,-3,0
15:16:40.922,-6,9,-2
15:16:40.922,-5,-1,0
15:16:40.922,-7,-2,-1
15:16:40.922,-5,-1,-2
15:16:40.952,-4,-2,-1
15:16:40.952,-8,-2,0
15:16:40.952,-4,1,0
15:16:40.952,-4,1,-1
15:16:40.952,-7,-4,-2
15:16:40.952,-4,3,-3
15:16:40.952,-10,5,0
15:16:40.952,-2,2,-1
15:16:40.952,-6,1,0
15:16:40.952,-7,1,-1
15:16:40.952,-8,4,0
15:16:40.952,-7,2,0
15:16:40.952,-10,1,-1
15:16:40.952,-6,6,0
15:16:40.952,-3,0,-2
15:16:40.952,-5,-1,0
15:16:40.952,-12,3,-1
15:16:40.952,-6,1,-1
15:16:40.952,-12,-6,0
15:16:40.952,-5,4,-1
15:16:40.952,-5,1,-1
15:16:40.952,-6,-1,-2
15:16:40.952,1,0,-3
15:16:40.952,-5,2,-2
15:16:40.952,-4,3,-1
15:16:40.952,-4,0,-1
15:16:40.952,-5,0,0
15:16:40.953,-6,-1,-2
15:16:40.953,-7,-1,0
15:16:40.953,-7,5,1
15:16:40.953,-7,4,0
15:16:40.984,-5,2,1
15:16:40.984,-4,-2,-2
15:16:40.984,-10,1,-1
15:16:40.984,-8,2,0
15:16:40.984,-5,0,-1
15:16:40.984,-6,-2,-1
15:16:40.984,-7,2,2
15:16:40.984,-1,1,0
15:16:40.984,-7,0,-1
15:16:40.984,-5,1,-1
15:16:40.984,-4,1,2
15:16:40.984,-7,-2,-2
15:16:40.984,-8,-2,-1
15:16:40.984,-7,1,-1
15:16:40.984,-6,7,-1
15:16:40.984,-6,-1,0
15:16:40.984,-10,0,0
15:16:40.984,-5,2,-1
15:16:40.984,-6,0,-2
15:16:40.984,-11,2,0
15:16:40.984,-9,0,-2
15:16:40.984,-7,0,-1
15:16:40.984,-5,1,-1
15:16:40.984,-5,-2,-2
15:16:40.984,-10,0,-1
15:16:40.984,-6,3,0
15:16:40.984,-6,3,1
15:16:40.984,-9,2,-1
15:16:40.984,-7,3,0
15:16:40.984,-4,-2,-1
15:16:40.984,-6,2,-2
15:16:40.984,-4,3,-2
