TimeStamp,X,Y,Z
14:1:15.139,-2,-8,1
14:1:15.139,-3,-6,-1
14:1:15.139,-2,-6,-1
14:1:15.139,-1,-3,-2
14:1:15.139,-1,-6,-1
14:1:15.139,-3,-6,-1
14:1:15.139,-6,-3,0
14:1:15.139,4,-5,2
14:1:15.139,1,-5,1
14:1:15.139,-4,-1,1
14:1:15.139,1,-1,0
14:1:15.139,-7,-6,-1
14:1:15.139,0,-2,0
14:1:15.139,-1,1,0
14:1:15.139,0,-4,0
14:1:15.139,-2,-4,0
14:1:15.139,-2,-3,1
14:1:15.139,-4,-5,-1
14:1:15.139,-1,-4,2
14:1:15.139,-1,-3,-1
14:1:15.139,1,-6,0
14:1:15.139,0,-4,-1
14:1:15.139,0,-2,-1
14:1:15.139,-2,-2,0
14:1:15.139,-2,0,-1
14:1:15.139,2,-6,0
14:1:15.139,-2,-5,0
14:1:15.139,-1,-1,3
14:1:15.139,2,-2,0
14:1:15.139,-3,-4,0
14:1:15.139,-5,-3,-1
14:1:15.171,-2,-6,0
14:1:15.171,3,-9,-1
14:1:15.171,-10,-5,-1
14:1:15.171,-5,-2,-2
14:1:15.171,0,-1,-1
14:1:15.171,-2,-8,0
14:1:15.171,-2,-5,0
14:1:15.171,-2,-3,2
14:1:15.171,-1,-6,-1
14:1:15.171,-1,-4,-1
14:1:15.171,1,-5,3
14:1:15.171,2,-4,1
14:1:15.171,-2,-6,-1
14:1:15.171,1,-3,-1
14:1:15.171,-2,-5,-2
14:1:15.171,3,-4,0
14:1:15.171,-2,-6,1
14:1:15.171,0,-6,0
14:1:15.171,-3,-7,-1
14:1:15.172,-1,-6,1
14:1:15.172,-3,-5,0
14:1:15.172,-4,-5,-2
14:1:15.172,3,-3,1
14:1:15.172,0,-3,-1
14:1:15.172,-2,-4,1
14:1:15.172,2,-5,1
14:1:15.172,3,-9,1
14:1:15.172,0,-7,0
14:1:15.172,0,-3,1
14:1:15.172,-1,-6,1
14:1:15.172,4,-8,0
14:1:15.172,-1,0,0
14:1:15.172,0,-1,0
14:1:15.203,1,-6,-2
14:1:15.203,0,-2,0
14:1:15.203,1,-8,1
14:1:15.203,-1,-6,1
14:1:15.203,1,-5,1
14:1:15.203,-3,-5,1
14:1:15.203,0,-6,0
14:1:15.203,0,-8,-1
14:1:15.203,-3,-3,-1
14:1:15.203,1,-5,-3
14:1:15.203,2,-3,-2
14:1:15.203,-2,-5,0
14:1:15.203,-2,-2,-1
14:1:15.203,0,-4,2
14:1:15.203,-1,-5,1
14:1:15.203,1,-2,0
14:1:15.203,2,-4,-1
14:1:15.203,0,-1,-1
14:1:15.203,-4,-5,-1
14:1:15.203,1,-7,0
14:1:15.203,-1,2,1
14:1:15.203,-3,-6,-1
14:1:15.203,-2,-5,0
14:1:15.204,0,0,1
14:1:15.204,0,-4,0
14:1:15.204,-4,-5,1
14:1:15.204,-1,-6,-1
14:1:15.204,0,-2,-3
14:1:15.204,-4,-4,-1
14:1:15.204,0,-5,0
14:1:15.204,-4,-3,0
14:1:15.204,0,-1,1
14:1:15.233,-1,-3,1
14:1:15.233,0,-4,0
14:1:15.233,-1,-4,2
14:1:15.233,0,-9,0
14:1:15.233,-1,-7,1
14:1:15.233,0,-2,1
14:1:15.233,1,-5,-1
14:1:15.233,-1,-7,1
14:1:15.233,-5,-8,0
14:1:15.233,-2,-6,1
14:1:15.233,0,-5,0
14:1:15.233,-4,-6,1
14:1:15.233,-2,-4,-1
14:1:15.233,-2,-5,0
14:1:15.233,2,-6,1
14:1:15.233,-1,-2,0
14:1:15.233,-1,-6,1
14:1:15.233,0,0,0
14:1:15.233,0,-5,0
14:1:15.233,-1,-3,-1
14:1:15.233,-1,-5,1
14:1:15.233,-3,-4,0
14:1:15.234,-1,-4,2
14:1:15.234,1,-9,1
14:1:15.234,0,-7,-1
14:1:15.234,-5,-4,1
14:1:15.234,-3,-7,-1
14:1:15.234,0,-1,-1
14:1:15.234,0,-5,-1
14:1:15.234,-2,-3,2
14:1:15.265,-3,-6,0
14:1:15.265,0,-6,0
14:1:15.265,-3,-6,0
14:1:15.265,-1,-3,0
14:1:15.265,-1,-3,0
14:1:15.265,-1,-7,-1
14:1:15.265,3,-4,-3
14:1:15.265,-1,0,-1
14:1:15.265,2,-5,1
14:1:15.265,-2,-3,0
14:1:15.265,3,0,-1
14:1:15.265,-1,-4,0
14:1:15.265,2,-5,0
14:1:15.265,1,-5,-1
14:1:15.265,0,-3,-1
14:1:15.265,3,-8,-1
14:1:15.265,-2,-7,-2
14:1:15.265,-8,-3,-1
14:1:15.265,1,-3,0
14:1:15.265,0,-2,1
14:1:15.265,1,-2,-1
14:1:15.265,-1,-4,0
14:1:15.265,2,-1,0
14:1:15.265,-2,-4,0
14:1:15.265,0,-4,1
14:1:15.265,1,-3,-1
14:1:15.265,-3,-3,-2
14:1:15.265,-1,-4,0
14:1:15.265,-2,-5,1
14:1:15.265,1,-4,0
14:1:15.265,-2,-5,0
14:1:15.265,-2,-3,0
14:1:15.296,-4,-5,-1
14:1:15.296,-2,-3,1
14:1:15.296,-2,-1,-1
14:1:15.297,1,-3,0
14:1:15.297,2,0,0
14:1:15.297,0,-4,0
14:1:15.297,-4,-6,1
14:1:15.297,1,-5,0
14:1:15.297,-2,-2,2
14:1:15.297,0,-2,1
14:1:15.297,0,-3,0
14:1:15.297,1,-3,0
14:1:15.297,-9,-8,-1
14:1:15.297,-2,-5,-1
14:1:15.297,2,-1,-1
14:1:15.297,2,-5,0
14:1:15.297,2,-5,1
14:1:15.297,-2,-5,0
14:1:15.297,-2,-5,0
14:1:15.297,0,-4,0
14:1:15.297,0,-7,0
14:1:15.297,2,-5,-2
14:1:15.297,0,-6,-1
14:1:15.297,2,0,-1
14:1:15.297,-2,-4,1
14:1:15.297,3,-1,1
14:1:15.297,-1,-7,1
14:1:15.297,0,-1,0
14:1:15.297,1,-3,0
14:1:15.297,-1,-3,0
14:1:15.297,-2,-9,0
14:1:15.297,-1,-4,-1
14:1:15.325,-1,-9,0
14:1:15.325,1,-5,0
14:1:15.325,-4,-4,1
14:1:15.325,-1,-6,0
14:1:15.325,0,-3,0
14:1:15.325,-2,-3,0
14:1:15.325,2,-3,1
14:1:15.325,4,-7,0
14:1:15.325,2,-4,-1
14:1:15.325,-3,0,-2
14:1:15.325,2,-6,1
14:1:15.325,0,-6,0
14:1:15.325,-1,-7,1
14:1:15.325,-1,-2,0
14:1:15.325,-1,-4,1
14:1:15.325,3,-3,1
14:1:15.325,-3,-2,1
14:1:15.325,-6,-2,0
14:1:15.325,-4,-5,2
14:1:15.326,-4,-4,1
14:1:15.326,-2,-6,-2
14:1:15.326,-3,-4,1
14:1:15.326,2,-6,-1
14:1:15.326,2,-7,0
14:1:15.326,-1,-4,2
14:1:15.326,-2,-2,1
14:1:15.326,2,-6,0
14:1:15.326,1,-7,2
