TimeStamp,X,Y,Z
13:2:48.219,-2,0,-1
13:2:48.219,3,0,1
13:2:48.219,-4,3,1
13:2:48.219,1,0,1
13:2:48.219,0,1,1
13:2:48.219,2,8,1
13:2:48.219,4,2,2
13:2:48.219,2,6,0
13:2:48.219,2,1,1
13:2:48.219,-4,3,1
13:2:48.219,3,8,1
13:2:48.219,3,7,1
13:2:48.219,-2,3,0
13:2:48.219,0,8,1
13:2:48.219,-2,3,-1
13:2:48.219,-2,-2,1
13:2:48.219,-3,3,0
13:2:48.219,-3,3,-1
13:2:48.219,0,1,0
13:2:48.219,-2,2,1
13:2:48.219,-5,5,0
13:2:48.219,0,4,2
13:2:48.219,0,4,1
13:2:48.219,-4,6,2
13:2:48.219,-2,3,2
13:2:48.219,0,3,1
13:2:48.219,2,5,1
13:2:48.219,-5,10,2
13:2:48.219,2,4,2
13:2:48.219,-3,4,-1
13:2:48.219,-4,4,0
13:2:48.220,-5,8,1
13:2:48.249,-5,1,1
13:2:48.249,-2,2,0
13:2:48.249,-5,4,1
13:2:48.249,-2,1,-1
13:2:48.249,-1,4,0
13:2:48.249,1,4,0
13:2:48.249,-1,2,-1
13:2:48.249,-2,3,0
13:2:48.250,-1,-2,0
13:2:48.250,-2,4,0
13:2:48.250,1,0,0
13:2:48.250,4,1,2
13:2:48.250,-3,2,0
13:2:48.250,0,4,1
13:2:48.250,1,6,0
13:2:48.250,-8,2,0
13:2:48.250,1,1,-1
13:2:48.250,-1,6,-1
13:2:48.250,-3,0,1
13:2:48.250,1,4,1
13:2:48.250,-2,5,1
13:2:48.250,-1,1,0
13:2:48.250,-2,0,1
13:2:48.250,2,7,1
13:2:48.250,3,5,1
13:2:48.250,1,0,0
13:2:48.250,3,2,0
13:2:48.250,-1,4,0
13:2:48.250,0,5,2
13:2:48.250,2,2,1
13:2:48.250,1,1,1
13:2:48.250,0,6,-1
13:2:48.279,-2,6,2
13:2:48.279,-3,1,0
13:2:48.279,-2,2,-2
13:2:48.279,3,4,0
13:2:48.279,3,2,-1
13:2:48.279,-4,-1,1
13:2:48.279,-1,5,0
13:2:48.279,-2,5,1
13:2:48.279,-1,1,1
13:2:48.279,4,5,1
13:2:48.279,-2,3,1
13:2:48.279,-1,0,0
13:2:48.279,1,10,2
13:2:48.279,2,7,3
13:2:48.279,1,1,-1
13:2:48.279,1,-1,0
13:2:48.279,-5,4,0
13:2:48.279,-1,1,1
13:2:48.279,3,5,0
13:2:48.279,-1,3,0
13:2:48.279,-4,4,1
13:2:48.279,-3,3,-1
13:2:48.279,-8,3,0
13:2:48.279,-1,4,-1
13:2:48.279,-5,4,-2
13:2:48.279,-1,0,0
13:2:48.279,2,2,1
13:2:48.279,-2,3,0
13:2:48.279,-3,5,1
13:2:48.279,-1,2,0
13:2:48.279,0,6,1
13:2:48.279,1,5,1
13:2:48.309,0,1,1
13:2:48.309,-2,3,2
13:2:48.309,-1,6,0
13:2:48.309,-2,-1,0
13:2:48.309,0,1,1
13:2:48.309,-1,0,1
13:2:48.309,2,0,0
13:2:48.309,-3,3,1
13:2:48.309,-4,0,2
13:2:48.309,4,4,2
13:2:48.309,0,1,1
13:2:48.309,-1,4,0
13:2:48.309,2,6,1
13:2:48.309,3,3,1
13:2:48.309,4,1,2
13:2:48.309,0,1,0
13:2:48.309,3,5,-1
13:2:48.309,-1,3,1
13:2:48.310,2,1,1
13:2:48.310,1,3,-1
13:2:48.310,1,6,0
13:2:48.310,3,2,0
13:2:48.310,-6,0,0
13:2:48.310,-1,3,1
13:2:48.310,-3,1,1
13:2:48.310,-4,2,-1
