TimeStamp,X,Y,Z
10:22:4.520,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,1,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,1,1
10:22:4.521,0,1,1
10:22:4.521,0,1,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,-1,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,0,1,1
10:22:4.521,1,1,1
10:22:4.521,1,1,0
10:22:4.521,0,0,0
10:22:4.521,0,1,0
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,1,0,1
10:22:4.521,0,0,1
10:22:4.521,0,0,1
10:22:4.521,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,0,1,1
10:22:4.545,0,1,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,0,1,1
10:22:4.545,0,1,1
10:22:4.545,1,1,1
10:22:4.545,0,1,1
10:22:4.545,1,1,1
10:22:4.545,0,1,1
10:22:4.545,0,1,1
10:22:4.545,0,1,1
10:22:4.545,0,0,1
10:22:4.545,1,0,1
10:22:4.545,1,0,1
10:22:4.545,1,0,1
10:22:4.545,1,1,1
10:22:4.545,1,0,1
10:22:4.545,1,0,1
10:22:4.545,1,1,1
10:22:4.545,1,1,1
10:22:4.545,1,0,1
10:22:4.576,1,0,1
10:22:4.577,0,0,1
10:22:4.577,1,0,1
10:22:4.577,1,0,1
10:22:4.577,1,0,1
10:22:4.577,1,0,1
10:22:4.577,0,0,1
10:22:4.577,0,0,1
10:22:4.577,0,0,1
10:22:4.577,0,0,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,0,1,1
10:22:4.577,0,1,1
10:22:4.577,1,1,1
10:22:4.577,0,0,1
10:22:4.577,0,1,1
10:22:4.577,0,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,1,1,1
10:22:4.577,2,0,1
10:22:4.577,1,0,1
10:22:4.608,1,1,1
10:22:4.608,1,1,1
10:22:4.608,1,1,1
10:22:4.609,1,1,1
10:22:4.609,1,1,1
10:22:4.609,1,1,1
10:22:4.609,0,1,1
10:22:4.609,0,0,1
10:22:4.609,1,1,1
10:22:4.609,1,1,1
10:22:4.609,0,0,1
10:22:4.609,0,0,1
10:22:4.609,0,0,1
10:22:4.609,0,0,1
10:22:4.609,0,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,-1,1
10:22:4.609,1,0,1
10:22:4.609,1,-1,1
10:22:4.609,1,-1,1
10:22:4.609,1,-1,1
10:22:4.609,1,-1,1
10:22:4.609,1,-1,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,1,0,1
10:22:4.609,2,0,1
10:22:4.640,1,0,1
10:22:4.640,2,0,1
10:22:4.640,2,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,-1,1
10:22:4.640,1,0,1
10:22:4.640,0,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,1,0,1
10:22:4.640,0,0,1
10:22:4.640,1,0,1
10:22:4.640,0,0,1
10:22:4.640,0,0,1
10:22:4.640,0,0,1
10:22:4.641,0,0,1
10:22:4.641,0,0,1
10:22:4.641,0,0,1
10:22:4.641,0,0,1
10:22:4.641,-1,0,1
10:22:4.641,-1,0,1
10:22:4.641,-1,-1,1
10:22:4.641,0,-1,1
10:22:4.641,0,0,1
10:22:4.641,0,0,1
10:22:4.673,0,0,1
10:22:4.673,0,0,1
10:22:4.673,0,0,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,0,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,0,1,1
10:22:4.673,0,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,1,1,1
10:22:4.673,0,1,1
10:22:4.673,0,1,1
10:22:4.674,0,1,1
10:22:4.674,0,1,1
10:22:4.674,0,1,1
10:22:4.674,0,1,1
10:22:4.674,0,1,1
10:22:4.674,0,1,1
10:22:4.674,1,1,1
10:22:4.674,1,1,1
10:22:4.704,1,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,1,1
10:22:4.704,0,0,1
10:22:4.704,0,0,1
10:22:4.704,0,0,1
10:22:4.704,0,0,1
10:22:4.704,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,1,1
10:22:4.705,0,1,1
10:22:4.705,0,1,1
10:22:4.705,0,1,1
10:22:4.705,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,0,1
10:22:4.705,0,1,1
10:22:4.705,1,0,1
10:22:4.705,1,0,1
