TimeStamp,X,Y,Z
13:5:13.4,-5,2,-1
13:5:13.4,-4,-2,-1
13:5:13.4,-1,0,0
13:5:13.4,-4,5,-1
13:5:13.4,2,-2,0
13:5:13.4,-3,-4,0
13:5:13.4,-4,-1,-1
13:5:13.4,-1,-1,-1
13:5:13.4,-5,-3,-1
13:5:13.4,1,1,-2
13:5:13.4,0,0,-2
13:5:13.4,1,-3,-2
13:5:13.4,0,-2,-2
13:5:13.4,-3,1,-1
13:5:13.4,3,4,0
13:5:13.4,0,3,0
13:5:13.4,-6,2,-1
13:5:13.4,-3,4,0
13:5:13.4,-6,0,0
13:5:13.4,-5,4,0
13:5:13.5,-5,2,0
13:5:13.5,2,0,-2
13:5:13.5,-4,-1,-1
13:5:13.5,-8,2,-1
13:5:13.5,-3,1,-2
13:5:13.5,1,-1,0
13:5:13.5,-7,0,-1
13:5:13.5,-1,0,-1
13:5:13.5,-5,1,-1
13:5:13.5,-2,1,-1
13:5:13.31,-3,3,0
13:5:13.31,-3,2,-1
13:5:13.31,-3,4,-3
13:5:13.31,-5,-2,1
13:5:13.31,-3,-1,-2
13:5:13.31,-2,1,0
13:5:13.31,-2,2,-1
13:5:13.31,-3,0,-2
13:5:13.31,-3,-2,-1
13:5:13.31,-2,1,-1
13:5:13.31,-7,-3,-2
13:5:13.31,-4,-2,0
13:5:13.31,0,2,-2
13:5:13.31,-1,-3,-1
13:5:13.31,-1,-3,1
13:5:13.31,-2,-2,-2
13:5:13.31,-4,2,-2
13:5:13.31,1,0,0
13:5:13.31,-4,0,-2
13:5:13.31,-1,-1,-1
13:5:13.31,-2,-1,-2
13:5:13.31,-1,-2,-2
13:5:13.31,-5,4,0
13:5:13.31,0,2,-1
13:5:13.31,-4,-2,1
13:5:13.31,-2,-3,-3
13:5:13.31,-3,-1,0
13:5:13.31,-4,0,-1
13:5:13.64,-5,-1,-1
13:5:13.64,-1,2,-3
13:5:13.64,0,-3,-1
13:5:13.64,-2,-2,-2
13:5:13.64,-4,2,0
13:5:13.64,0,1,0
13:5:13.64,1,-1,-1
13:5:13.64,2,2,-1
13:5:13.65,-1,1,1
13:5:13.65,-2,1,0
13:5:13.65,-4,0,0
13:5:13.65,1,6,0
13:5:13.65,-4,1,0
13:5:13.65,-2,1,-2
13:5:13.65,-2,-1,0
13:5:13.65,-8,0,0
13:5:13.65,-5,0,0
13:5:13.65,-3,0,-1
13:5:13.65,-3,0,1
13:5:13.65,-6,3,-1
13:5:13.65,-2,-3,-2
13:5:13.65,-5,2,-2
13:5:13.65,-4,-2,-1
13:5:13.65,-2,2,-2
13:5:13.65,-1,-2,0
13:5:13.65,0,0,1
13:5:13.65,-1,1,-1
13:5:13.65,3,3,1
13:5:13.65,-6,2,1
13:5:13.65,-3,-4,-1
13:5:13.65,-2,1,0
13:5:13.65,-7,-4,0
13:5:13.65,-1,-1,-2
13:5:13.65,-3,3,-2
13:5:13.94,2,-1,-2
13:5:13.94,-3,0,0
13:5:13.94,-4,2,-1
13:5:13.95,-4,3,-1
13:5:13.95,-4,1,0
13:5:13.95,-4,-2,-1
13:5:13.95,-2,2,-1
13:5:13.95,-3,-2,-1
13:5:13.95,-3,1,-1
13:5:13.95,-4,2,-2
13:5:13.95,-3,1,0
13:5:13.95,2,1,-1
13:5:13.95,1,-2,-2
13:5:13.95,-2,2,-1
13:5:13.95,-1,1,1
13:5:13.95,-3,-1,-1
13:5:13.95,-2,-1,-1
13:5:13.95,-1,-1,-1
13:5:13.95,-1,-1,-1
13:5:13.95,-4,0,-1
13:5:13.95,-2,4,0
13:5:13.95,-4,1,-1
13:5:13.95,-4,2,1
13:5:13.95,-2,2,-1
13:5:13.95,-4,2,0
13:5:13.95,-2,1,-1
13:5:13.95,-1,3,-2
13:5:13.95,-2,5,-1
13:5:13.95,-2,2,-1
13:5:13.95,-2,-2,0
13:5:13.125,-1,1,1
13:5:13.125,-3,1,-1
13:5:13.125,-2,-1,1
13:5:13.125,-3,3,0
13:5:13.125,-1,1,-1
13:5:13.125,-1,-3,-2
13:5:13.125,-6,2,-1
13:5:13.125,-6,-1,-3
13:5:13.125,-5,4,-2
13:5:13.125,-2,-1,-2
13:5:13.125,-3,1,-2
13:5:13.125,-3,-1,0
13:5:13.125,-3,3,0
13:5:13.125,-2,0,-1
13:5:13.125,-7,3,-1
13:5:13.125,1,-1,-2
13:5:13.125,-4,-2,-1
13:5:13.125,-3,-1,-2
13:5:13.125,-1,5,-2
13:5:13.125,2,-2,-1
13:5:13.125,-2,2,-1
13:5:13.125,-4,1,-1
13:5:13.125,-4,2,0
13:5:13.125,-4,0,-1
13:5:13.125,-3,-1,0
13:5:13.125,-1,-1,0
13:5:13.125,-5,1,-1
13:5:13.125,2,0,0
13:5:13.125,-4,1,-2
13:5:13.125,3,2,-1
13:5:13.156,3,0,-1
13:5:13.156,-1,-3,-1
13:5:13.156,-3,2,-2
13:5:13.156,0,1,-1
13:5:13.156,0,2,0
13:5:13.156,-2,3,0
13:5:13.157,3,-2,-2
13:5:13.157,-2,1,-1
13:5:13.157,-7,0,0
13:5:13.157,-1,-2,-1
13:5:13.157,-2,-2,0
13:5:13.157,-3,-3,-2
13:5:13.157,-1,-2,0
13:5:13.157,-3,-1,-1
13:5:13.157,0,3,-1
13:5:13.157,0,2,0
13:5:13.157,-3,1,-1
13:5:13.157,2,0,-2
13:5:13.157,0,-2,-1
13:5:13.157,1,1,-3
13:5:13.157,1,-2,0
13:5:13.157,-1,4,0
13:5:13.157,-1,-2,-1
13:5:13.157,-3,4,-1
13:5:13.157,0,0,0
13:5:13.157,-8,-1,-1
13:5:13.157,-2,3,0
13:5:13.157,-2,1,-1
13:5:13.157,-1,3,-1
13:5:13.157,-2,-1,1
13:5:13.157,-5,1,-1
13:5:13.157,-2,1,1
13:5:13.189,-1,-2,0
13:5:13.189,-4,2,0
13:5:13.189,-2,-1,-1
13:5:13.189,-1,-1,-2
13:5:13.189,-3,2,0
13:5:13.189,-1,7,-1
13:5:13.189,-2,-2,-1
13:5:13.189,-7,-1,-2
13:5:13.189,-4,0,-1
13:5:13.189,-3,1,-1
13:5:13.189,-2,-3,1
13:5:13.189,-6,-2,1
13:5:13.189,-5,4,-2
13:5:13.189,-1,1,0
13:5:13.189,-2,-3,-1
13:5:13.189,-10,0,-1
13:5:13.189,-4,0,-2
13:5:13.189,-2,4,-2
13:5:13.189,-3,-1,-2
13:5:13.189,-4,2,-1
13:5:13.189,-2,0,0
13:5:13.189,-2,0,-1
13:5:13.189,-3,5,-1
13:5:13.189,-1,2,-1
13:5:13.189,-4,1,-3
13:5:13.189,-4,-2,-1
13:5:13.189,-3,2,-1
13:5:13.189,-3,1,-2
13:5:13.189,-5,-1,0
13:5:13.189,-5,2,0
13:5:13.189,-2,-1,-2
13:5:13.221,-1,0,0
13:5:13.221,-4,0,-1
13:5:13.221,-4,-1,-4
13:5:13.221,-1,4,-1
13:5:13.221,-4,-1,-3
13:5:13.221,-4,2,0
13:5:13.221,-3,2,0
13:5:13.221,1,1,2
13:5:13.221,-4,3,0
13:5:13.221,-4,1,-1
13:5:13.221,-2,5,-2
13:5:13.221,-5,-1,-1
13:5:13.221,-3,2,1
13:5:13.221,-3,5,-2
13:5:13.221,2,2,-1
13:5:13.221,0,3,0
13:5:13.221,-5,1,-1
13:5:13.221,0,1,-1
13:5:13.221,-4,-1,0
13:5:13.221,-5,3,-1
13:5:13.221,-2,1,1
13:5:13.221,-3,-1,-1
13:5:13.222,-2,0,-2
13:5:13.222,-1,4,-1
13:5:13.222,-3,6,-2
13:5:13.222,-2,-1,-1
13:5:13.222,-2,-3,-1
13:5:13.222,0,2,0
13:5:13.222,3,-2,0
13:5:13.222,0,2,0
13:5:13.222,-8,1,-1
13:5:13.222,-1,-1,-2
13:5:13.222,-1,-3,-3
13:5:13.250,-7,-2,-1
13:5:13.250,-5,0,0
13:5:13.250,-3,2,-1
13:5:13.250,-1,-2,-2
13:5:13.250,-3,-2,0
13:5:13.250,-1,0,-1
13:5:13.250,-2,2,0
13:5:13.250,-3,-2,0
13:5:13.250,-1,-1,-1
13:5:13.250,0,3,-2
13:5:13.250,-3,2,0
13:5:13.250,-2,1,-1
13:5:13.250,-1,2,-1
13:5:13.250,0,4,-1
13:5:13.250,-6,1,-2
13:5:13.250,-1,2,-1
13:5:13.250,-3,-2,1
13:5:13.250,-4,1,-1
13:5:13.250,-3,1,-2
13:5:13.250,-3,2,-1
13:5:13.250,-2,-4,-1
13:5:13.250,-3,-4,-2
13:5:13.250,-5,0,0
13:5:13.250,-2,1,-1
13:5:13.250,-1,1,-1
13:5:13.250,-4,1,-1
13:5:13.250,0,1,1
13:5:13.250,-3,3,-2
13:5:13.250,-2,-3,-1
13:5:13.284,-3,5,-1
13:5:13.284,0,0,-2
13:5:13.284,-1,0,0
13:5:13.284,-1,2,-1
13:5:13.285,-5,-1,0
13:5:13.285,-5,-3,1
13:5:13.285,-1,-1,-1
13:5:13.285,-3,2,0
13:5:13.285,-1,-3,-2
13:5:13.285,-1,1,-1
13:5:13.285,-6,4,-3
13:5:13.285,1,-1,-2
13:5:13.285,-1,2,-1
13:5:13.285,-2,-1,-3
13:5:13.285,-3,4,-1
13:5:13.285,1,0,0
13:5:13.285,-2,1,-1
13:5:13.285,0,-1,1
13:5:13.285,-2,3,-2
13:5:13.285,-1,2,-2
13:5:13.285,-7,0,-1
13:5:13.285,-3,2,0
13:5:13.285,-4,3,0
13:5:13.285,-4,-2,0
13:5:13.285,-3,-1,-1
13:5:13.285,-2,1,0
13:5:13.285,-4,0,0
13:5:13.285,-1,-2,-1
13:5:13.285,-3,0,-1
13:5:13.285,3,3,-3
13:5:13.285,-3,-4,-1
13:5:13.285,-2,0,-2
13:5:13.285,-3,4,-1
13:5:13.285,3,3,0
13:5:13.285,2,4,0
13:5:13.313,-2,2,0
13:5:13.313,-1,4,-1
13:5:13.313,-3,-1,0
13:5:13.313,-2,-1,-2
13:5:13.313,-3,1,0
13:5:13.313,-3,0,-1
13:5:13.313,-3,-2,0
13:5:13.313,-8,-1,-2
13:5:13.313,-1,-1,-1
13:5:13.313,-4,-2,0
13:5:13.313,-2,-3,-1
13:5:13.313,-3,0,-1
13:5:13.313,-3,1,-1
13:5:13.313,6,1,-3
13:5:13.313,-1,8,-3
13:5:13.313,-1,0,-1
13:5:13.313,0,0,-1
13:5:13.313,-3,0,-1
13:5:13.313,-4,4,-2
13:5:13.313,-3,-2,0
13:5:13.313,-3,0,-1
13:5:13.313,-5,2,0
13:5:13.313,1,3,-2
13:5:13.313,-2,-1,-1
13:5:13.313,-6,0,0
13:5:13.313,-4,-2,-3
13:5:13.313,0,-1,-1
13:5:13.313,-2,-3,-1
13:5:13.344,-5,-2,0
13:5:13.344,-6,-2,1
13:5:13.344,-3,-1,0
13:5:13.345,-6,3,-1
13:5:13.345,-2,0,-1
13:5:13.345,-2,5,0
13:5:13.345,-2,-2,-1
13:5:13.345,1,2,-2
13:5:13.345,-1,3,-2
13:5:13.345,2,-1,0
13:5:13.345,1,0,0
13:5:13.345,-2,-1,-2
13:5:13.345,-4,3,0
13:5:13.345,-3,0,-2
13:5:13.345,-2,-3,-1
13:5:13.345,-4,1,-2
13:5:13.345,-2,0,-1
13:5:13.345,-2,-2,-2
13:5:13.345,-6,1,-1
13:5:13.345,0,0,1
13:5:13.345,-2,0,0
13:5:13.345,-2,3,1
13:5:13.345,-6,2,-1
13:5:13.345,-5,2,0
13:5:13.345,-6,1,-1
13:5:13.345,-3,5,0
13:5:13.345,2,1,-2
13:5:13.345,-1,-2,-2
13:5:13.345,-7,0,0
13:5:13.345,-7,1,0
13:5:13.345,-2,0,-1
13:5:13.345,-3,-1,-1
13:5:13.376,-2,1,-1
13:5:13.377,-2,3,-2
13:5:13.377,0,-1,-1
13:5:13.377,-5,2,-1
13:5:13.377,-6,-1,-2
13:5:13.377,-3,3,-2
13:5:13.377,-1,-2,-1
13:5:13.377,-1,3,-2
13:5:13.377,-5,0,-1
13:5:13.377,-1,0,-1
13:5:13.377,-3,0,-1
13:5:13.377,1,2,-1
13:5:13.377,2,1,-1
13:5:13.377,-2,-1,-1
13:5:13.377,-2,0,-2
13:5:13.377,-2,3,-1
13:5:13.377,-1,0,-1
13:5:13.377,-1,-1,1
13:5:13.377,-3,0,0
13:5:13.377,-5,2,-1
13:5:13.377,-4,0,0
13:5:13.377,-3,2,-1
13:5:13.377,1,1,0
13:5:13.377,-1,-4,0
13:5:13.377,0,5,-2
13:5:13.377,-3,2,-1
13:5:13.377,-2,3,0
13:5:13.377,-3,-1,0
13:5:13.377,-3,-2,-1
13:5:13.377,-3,3,0
13:5:13.377,-3,6,1
13:5:13.377,-3,-1,-1
13:5:13.406,-4,1,-3
13:5:13.406,-1,0,0
13:5:13.406,2,-1,-4
13:5:13.407,-9,2,1
13:5:13.407,-2,2,0
13:5:13.407,-4,2,0
13:5:13.407,-4,-1,-2
13:5:13.407,0,0,-2
13:5:13.407,0,-2,-1
13:5:13.407,1,2,-1
13:5:13.407,-4,4,-1
13:5:13.407,1,0,-1
13:5:13.407,-3,-1,-1
13:5:13.407,-3,0,0
13:5:13.407,-4,1,-1
13:5:13.407,-4,-2,-1
13:5:13.407,-2,-2,0
13:5:13.407,-1,1,-2
13:5:13.407,-3,-1,0
13:5:13.407,-3,-1,-1
13:5:13.407,-5,3,-2
13:5:13.407,-2,-1,-3
13:5:13.407,1,0,-2
13:5:13.407,-3,0,-1
13:5:13.407,-2,-1,-1
13:5:13.407,-2,-4,-1
13:5:13.407,-5,2,1
13:5:13.407,-6,2,1
