TimeStamp,X,Y,Z
13:7:4.111,8,-1,-3
13:7:4.111,3,2,-3
13:7:4.111,8,-1,-2
13:7:4.111,6,-1,-3
13:7:4.111,8,1,-4
13:7:4.111,6,-1,-3
13:7:4.111,4,-2,-4
13:7:4.111,7,3,-2
13:7:4.111,3,-1,0
13:7:4.111,7,0,-3
13:7:4.111,6,1,-2
13:7:4.111,7,0,-4
13:7:4.111,5,-5,-4
13:7:4.111,1,-3,-3
13:7:4.111,7,2,-2
13:7:4.111,5,-1,-4
13:7:4.111,5,0,-3
13:7:4.111,7,0,-3
13:7:4.111,8,1,-4
13:7:4.111,8,1,-4
13:7:4.111,5,0,-3
13:7:4.111,3,-2,-2
13:7:4.111,4,0,-5
13:7:4.111,5,3,-3
13:7:4.111,6,1,-3
13:7:4.111,6,-1,-3
13:7:4.111,4,-2,-5
13:7:4.111,4,-2,-3
13:7:4.111,2,-1,-4
13:7:4.111,5,-4,-3
13:7:4.111,2,1,-4
13:7:4.142,5,-6,-4
13:7:4.142,5,-3,-4
13:7:4.142,-1,1,-3
13:7:4.142,7,-1,-3
13:7:4.142,8,-1,-3
13:7:4.143,4,-8,-3
13:7:4.143,4,2,-2
13:7:4.143,8,-4,-2
13:7:4.143,10,1,-2
13:7:4.143,7,-2,-4
13:7:4.143,7,-1,-5
13:7:4.143,3,1,-3
13:7:4.143,2,-2,-6
13:7:4.143,9,-4,-4
13:7:4.143,0,-1,-4
13:7:4.143,5,-4,-5
13:7:4.143,6,-2,-4
13:7:4.143,2,-2,-2
13:7:4.143,8,-2,-4
13:7:4.143,4,0,-3
13:7:4.143,3,0,-2
13:7:4.143,9,-2,-3
13:7:4.143,10,-6,-4
13:7:4.143,8,1,-5
13:7:4.143,7,1,-2
13:7:4.143,8,3,-1
13:7:4.143,4,0,-2
13:7:4.143,7,-1,-3
13:7:4.143,8,0,-4
13:7:4.143,2,-1,-3
13:7:4.143,3,-1,-3
13:7:4.143,3,1,-4
13:7:4.143,8,-3,-5
13:7:4.171,8,-5,-4
13:7:4.171,2,1,-2
13:7:4.171,6,-3,-2
13:7:4.171,6,-4,-3
13:7:4.171,3,0,-4
