TimeStamp,X,Y,Z
9:37:8.636,0,1,-1
9:37:8.636,1,1,-1
9:37:8.636,1,1,-1
9:37:8.636,1,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,2,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,1,-1
9:37:8.637,-1,0,-1
9:37:8.637,0,1,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,-1,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,1,-1
9:37:8.637,1,1,-1
9:37:8.637,0,0,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,0,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,0,-1
9:37:8.637,0,0,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,0,1,-1
9:37:8.637,1,1,-1
9:37:8.637,1,1,-1
9:37:8.637,1,1,-1
9:37:8.637,1,1,-1
9:37:8.637,1,0,-1
9:37:8.666,1,0,-1
9:37:8.666,0,0,-1
9:37:8.667,0,0,-1
9:37:8.667,1,1,-1
9:37:8.667,1,1,-1
9:37:8.667,1,1,-1
9:37:8.667,1,1,-1
9:37:8.667,1,1,-1
9:37:8.667,1,1,-1
9:37:8.667,1,0,-1
9:37:8.667,1,0,-1
9:37:8.667,0,1,-1
9:37:8.667,1,1,-1
9:37:8.667,0,1,-1
9:37:8.667,0,0,-1
9:37:8.667,0,0,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.667,-1,1,-1
9:37:8.667,0,0,-1
9:37:8.667,0,0,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.667,1,1,-1
9:37:8.667,0,1,-1
9:37:8.667,1,1,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.667,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,0,-1
9:37:8.699,0,0,-1
9:37:8.699,0,1,-1
9:37:8.699,1,0,-1
9:37:8.699,1,1,-1
9:37:8.699,0,1,-1
9:37:8.699,1,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,1,-1
9:37:8.699,1,1,-1
9:37:8.699,1,1,-1
9:37:8.699,1,1,-1
9:37:8.699,0,1,-1
9:37:8.699,0,2,-1
9:37:8.699,1,1,-1
9:37:8.699,1,1,-1
9:37:8.699,1,1,-1
9:37:8.700,1,1,-1
9:37:8.700,1,1,-1
9:37:8.700,1,1,-1
9:37:8.700,1,1,-1
9:37:8.700,1,1,-1
9:37:8.726,1,1,-1
9:37:8.726,0,1,-1
9:37:8.726,0,1,-1
