TimeStamp,X,Y,Z
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,-1,-1,1
10:8:52.800,-1,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,0,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,0,1
10:8:52.800,0,0,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-2,1
10:8:52.800,-1,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,-1,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,0,-1,1
10:8:52.800,1,-1,1
10:8:52.800,0,-1,1
10:8:52.828,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-2,-1,1
10:8:52.829,-2,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,0,0,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,0,1
10:8:52.829,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,-1,-1,1
10:8:52.829,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,0,-1,1
10:8:52.829,1,-1,1
10:8:52.829,1,-1,1
10:8:52.857,1,0,1
10:8:52.857,1,-1,1
10:8:52.857,1,-1,1
10:8:52.857,1,-1,1
10:8:52.857,1,0,1
10:8:52.857,1,-1,1
10:8:52.857,0,0,1
10:8:52.857,0,-1,1
10:8:52.857,0,-1,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,-1,0,1
10:8:52.857,-1,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,-1,1
10:8:52.857,-1,-1,1
10:8:52.857,-1,-1,1
10:8:52.857,0,0,1
10:8:52.857,0,0,1
10:8:52.857,0,-1,1
10:8:52.891,-1,-1,1
10:8:52.891,0,-1,1
10:8:52.891,0,-1,1
10:8:52.891,-1,-1,1
10:8:52.891,-1,-1,1
10:8:52.891,-1,-1,1
