TimeStamp,X,Y,Z
9:24:6.149,0,-1,0
9:24:6.149,0,-1,0
9:24:6.149,1,-1,0
9:24:6.149,1,-1,0
9:24:6.149,0,0,0
9:24:6.149,1,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,-1,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,-1,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.149,1,0,0
9:24:6.149,0,0,0
9:24:6.149,0,0,0
9:24:6.150,0,0,0
9:24:6.150,0,0,0
9:24:6.150,0,0,0
9:24:6.150,0,0,-1
9:24:6.150,0,0,0
9:24:6.150,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,0,0
9:24:6.177,0,-1,0
9:24:6.177,0,0,0
9:24:6.177,0,-1,0
9:24:6.177,0,-1,0
9:24:6.177,0,-1,0
9:24:6.177,0,-1,0
9:24:6.178,0,-1,0
9:24:6.178,1,-1,0
9:24:6.178,1,-1,0
9:24:6.178,1,-1,0
9:24:6.178,1,-1,0
9:24:6.178,1,-1,-1
9:24:6.178,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-1,0
9:24:6.209,2,-1,0
9:24:6.209,1,-1,0
9:24:6.209,1,-2,0
9:24:6.209,1,-2,0
9:24:6.209,1,-1,0
9:24:6.210,1,-1,0
9:24:6.210,1,-1,0
9:24:6.210,1,-1,0
9:24:6.210,1,-1,0
9:24:6.210,2,-1,0
9:24:6.210,1,-1,0
9:24:6.243,1,-1,0
9:24:6.243,1,-1,0
9:24:6.243,1,-1,0
9:24:6.243,1,-1,0
9:24:6.243,1,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,0,-1,0
9:24:6.243,1,-1,0
9:24:6.244,0,-1,0
9:24:6.244,1,-1,0
9:24:6.244,1,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,-1,0
9:24:6.244,0,0,0
9:24:6.244,0,0,1
9:24:6.244,1,0,0
9:24:6.244,1,0,0
9:24:6.244,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,0,0,0
9:24:6.275,0,0,1
9:24:6.275,0,0,0
9:24:6.275,0,0,0
9:24:6.275,0,0,0
9:24:6.275,1,1,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,1,1
9:24:6.275,1,0,1
9:24:6.275,1,0,1
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,0,0
9:24:6.275,1,-1,0
9:24:6.275,1,-1,0
9:24:6.275,1,-1,0
9:24:6.275,1,-1,0
9:24:6.275,0,-1,0
9:24:6.275,0,-1,0
9:24:6.275,1,-1,0
9:24:6.276,1,-1,0
9:24:6.276,1,-1,0
9:24:6.276,1,-1,0
9:24:6.276,1,-1,0
9:24:6.276,1,-1,0
9:24:6.302,1,-1,0
9:24:6.302,1,0,0
9:24:6.302,1,0,0
9:24:6.302,1,0,1
9:24:6.302,1,-1,0
9:24:6.302,1,-1,0
9:24:6.302,1,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,1,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,0,0
9:24:6.303,0,-1,0
9:24:6.303,1,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.303,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,-1,0
9:24:6.334,1,-1,0
9:24:6.334,0,-2,0
9:24:6.334,0,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,1,-1,0
9:24:6.334,0,-1,0
9:24:6.334,0,0,0
9:24:6.334,0,0,0
9:24:6.334,0,-1,0
9:24:6.366,0,-1,0
9:24:6.366,0,-1,0
9:24:6.366,0,-1,0
9:24:6.366,0,0,0
9:24:6.366,0,0,0
9:24:6.366,0,-1,0
9:24:6.366,0,0,0
9:24:6.366,0,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,0,0
9:24:6.366,1,-1,0
9:24:6.366,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,0,0
9:24:6.367,0,0,0
9:24:6.367,0,0,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.367,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.396,0,-1,0
9:24:6.397,0,-1,0
9:24:6.397,0,-1,0
9:24:6.397,0,0,0
9:24:6.397,0,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,0,0
9:24:6.397,1,-1,0
9:24:6.397,1,0,0
9:24:6.397,1,-1,0
9:24:6.397,2,-1,0
9:24:6.397,1,-1,0
9:24:6.397,2,-1,0
9:24:6.397,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,2,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.427,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,0,-1,0
9:24:6.428,0,-1,0
9:24:6.428,0,-1,0
9:24:6.428,1,-1,0
9:24:6.428,0,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.428,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,0,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
9:24:6.459,1,-1,0
