TimeStamp,X,Y,Z
13:22:52.924,-1,3,-2
13:22:52.924,-2,2,-2
13:22:52.924,3,-1,-2
13:22:52.924,-5,-1,-2
13:22:52.924,-2,3,-1
13:22:52.924,0,0,0
13:22:52.924,2,1,0
13:22:52.924,-2,2,-1
13:22:52.924,1,0,-1
13:22:52.924,0,-2,-2
13:22:52.924,-7,0,-1
13:22:52.924,-1,-1,-2
13:22:52.924,-1,5,-2
13:22:52.924,0,-2,-1
13:22:52.924,0,1,1
13:22:52.924,0,-3,-2
13:22:52.924,2,2,-2
13:22:52.924,0,1,-1
13:22:52.924,-1,2,-1
13:22:52.924,0,1,-2
13:22:52.924,1,1,-2
13:22:52.924,2,-1,-1
13:22:52.924,-3,3,-2
13:22:52.924,-1,2,0
13:22:52.924,-4,1,-1
13:22:52.924,-2,2,-1
13:22:52.924,-2,-1,-2
13:22:52.924,-2,3,-1
13:22:52.952,-1,0,-2
13:22:52.952,-3,1,-2
13:22:52.952,1,-3,-2
13:22:52.952,-1,1,-2
13:22:52.952,2,1,-1
13:22:52.952,0,-2,-1
13:22:52.952,5,0,-2
13:22:52.952,-2,2,-1
13:22:52.952,0,5,-2
13:22:52.952,-1,1,-2
13:22:52.952,3,0,-2
13:22:52.952,0,5,-2
13:22:52.952,-2,4,-2
13:22:52.952,-1,4,-2
13:22:52.952,-1,2,-2
13:22:52.952,-2,-1,-1
13:22:52.952,-1,-1,-1
13:22:52.952,-1,1,-3
13:22:52.952,-1,2,-2
13:22:52.952,1,1,-1
13:22:52.952,-3,-3,-2
13:22:52.952,-3,-1,-3
13:22:52.952,-2,-1,-3
13:22:52.952,2,0,-2
13:22:52.952,-3,-4,-3
13:22:52.952,1,3,-1
13:22:52.952,1,0,0
13:22:52.952,1,0,-3
13:22:52.952,-2,4,-1
13:22:52.983,1,-2,-2
13:22:52.983,-3,0,-3
13:22:52.983,-9,5,-2
13:22:52.983,-4,1,-3
13:22:52.984,-2,8,-2
13:22:52.984,0,0,-2
13:22:52.984,-5,2,-1
13:22:52.984,-1,3,-1
13:22:52.984,-2,0,-2
13:22:52.984,-3,-1,-3
13:22:52.984,-2,-1,0
13:22:52.984,-2,3,-3
13:22:52.984,2,-4,-2
13:22:52.984,-1,2,-2
13:22:52.984,-2,2,0
13:22:52.984,-1,3,0
13:22:52.984,-3,-1,1
13:22:52.984,-2,-1,-1
13:22:52.984,2,-2,-1
13:22:52.984,-3,-3,-3
13:22:52.984,0,-2,-2
13:22:52.984,-2,2,-2
13:22:52.984,6,2,-2
13:22:52.984,0,-2,-2
13:22:52.984,-6,-2,-1
13:22:52.984,3,-2,-2
13:22:52.984,0,-4,-1
13:22:52.984,-5,2,-1
13:22:52.984,1,0,-1
13:22:52.984,0,0,0
13:22:52.984,0,2,-2
13:22:52.984,-1,4,-1
13:22:53.16,1,4,-1
13:22:53.16,2,-1,-3
13:22:53.16,2,0,-1
13:22:53.16,0,1,-2
13:22:53.16,3,-3,0
13:22:53.16,2,-1,-2
13:22:53.16,-9,3,-1
13:22:53.16,-4,-1,-1
13:22:53.16,-1,-2,-1
13:22:53.16,-6,0,-2
13:22:53.16,0,0,-2
13:22:53.16,3,1,-2
13:22:53.16,4,-2,-2
13:22:53.16,-2,2,-2
13:22:53.16,2,2,0
13:22:53.16,-2,-2,-1
13:22:53.16,1,2,0
13:22:53.16,-1,2,-1
13:22:53.16,-4,0,-3
13:22:53.16,-3,-2,-3
13:22:53.17,-1,1,-3
13:22:53.17,0,4,-2
13:22:53.17,2,-2,0
13:22:53.17,-5,3,-2
13:22:53.17,-3,5,-2
13:22:53.17,-2,-2,-1
13:22:53.17,-2,-3,-2
13:22:53.17,-2,-4,-2
13:22:53.17,1,3,-3
13:22:53.17,3,-2,-3
13:22:53.17,-4,-1,-1
13:22:53.17,-5,3,-3
13:22:53.47,5,-2,-1
13:22:53.47,-4,-2,0
13:22:53.48,-2,2,-3
13:22:53.48,-1,4,-1
13:22:53.48,-2,0,-1
13:22:53.48,0,0,-1
13:22:53.48,1,2,-3
13:22:53.48,2,2,-3
13:22:53.48,-3,0,-1
13:22:53.48,-8,2,-1
13:22:53.48,-1,-2,-1
13:22:53.48,0,-1,0
13:22:53.48,1,0,-2
13:22:53.48,-3,0,0
13:22:53.48,-1,-3,-3
13:22:53.48,3,2,-3
13:22:53.48,-2,1,-2
13:22:53.48,-3,2,-3
13:22:53.48,4,0,-3
13:22:53.48,-2,-1,-1
13:22:53.48,-4,4,-1
13:22:53.48,1,3,0
13:22:53.48,-4,4,0
13:22:53.48,-6,4,0
13:22:53.48,-1,2,0
13:22:53.48,2,-3,-2
13:22:53.48,-4,0,-3
13:22:53.48,-3,0,-2
13:22:53.48,-2,0,-3
13:22:53.48,0,2,-2
13:22:53.48,-2,2,-1
13:22:53.48,-1,1,-1
13:22:53.78,-5,2,-2
13:22:53.78,0,-2,-1
13:22:53.78,-1,4,-2
13:22:53.78,0,0,-1
13:22:53.78,0,-2,-2
13:22:53.78,1,3,-3
13:22:53.78,-1,5,-1
13:22:53.78,2,6,-1
13:22:53.78,-6,0,0
13:22:53.78,0,3,-1
13:22:53.78,-3,2,-1
13:22:53.78,-3,0,0
13:22:53.78,-8,-2,-2
13:22:53.78,-1,1,-3
13:22:53.78,-5,-1,-1
13:22:53.78,2,-4,-2
13:22:53.78,-6,0,-2
13:22:53.78,4,4,-1
13:22:53.78,0,0,-2
13:22:53.78,-1,-2,-1
13:22:53.78,1,2,-1
13:22:53.78,0,1,-1
13:22:53.78,2,0,-2
13:22:53.78,-3,8,-2
13:22:53.78,2,0,-2
13:22:53.79,-4,-1,-3
13:22:53.79,0,-2,-2
13:22:53.79,-3,-3,-1
13:22:53.79,0,-3,-1
13:22:53.79,-1,0,-3
13:22:53.110,-3,-1,0
13:22:53.110,3,-3,-2
13:22:53.110,-1,-4,-2
13:22:53.110,-4,5,-1
13:22:53.110,-1,2,-2
13:22:53.110,2,3,-3
13:22:53.110,-2,-3,-2
13:22:53.110,2,0,-3
13:22:53.110,-2,0,-1
13:22:53.110,-1,2,-2
13:22:53.110,-1,4,-1
13:22:53.110,-1,3,-2
13:22:53.110,0,3,-2
13:22:53.110,-3,1,-1
13:22:53.110,1,-2,-1
13:22:53.110,0,7,-1
13:22:53.110,-3,-2,-2
13:22:53.110,-2,-3,-1
13:22:53.110,-2,0,-1
13:22:53.111,-4,1,-1
13:22:53.111,-1,-1,-2
13:22:53.111,-3,-1,-2
13:22:53.111,5,2,-3
13:22:53.111,-2,-1,-1
13:22:53.111,-5,3,-3
13:22:53.111,-1,2,-2
13:22:53.111,0,1,0
13:22:53.111,-2,5,0
13:22:53.111,-1,1,-3
13:22:53.111,0,3,0
13:22:53.111,-1,1,-1
13:22:53.111,-4,2,-1
13:22:53.142,-3,2,-1
13:22:53.142,0,0,-1
13:22:53.142,-4,-3,-2
13:22:53.142,-7,0,-3
13:22:53.142,-3,0,-2
13:22:53.142,-1,-2,0
13:22:53.142,-3,2,-2
13:22:53.142,-4,0,-1
13:22:53.142,-3,3,-3
13:22:53.142,3,2,-4
13:22:53.142,-3,1,-2
13:22:53.142,0,0,-2
13:22:53.142,0,-4,-2
13:22:53.142,-4,-2,-2
13:22:53.142,-4,2,-1
13:22:53.142,5,-1,-2
13:22:53.142,-1,1,1
13:22:53.142,-5,-1,0
13:22:53.142,-3,1,-1
13:22:53.142,0,-4,0
13:22:53.142,-5,-5,-2
13:22:53.142,-4,1,-3
13:22:53.142,-3,3,-1
13:22:53.142,1,-4,-3
13:22:53.142,-1,1,-2
13:22:53.142,2,-2,-1
13:22:53.142,-1,1,-1
13:22:53.142,-2,0,-2
13:22:53.142,0,1,0
13:22:53.142,2,0,-2
13:22:53.142,-3,0,0
13:22:53.142,0,4,-3
13:22:53.169,0,5,-1
13:22:53.169,3,2,0
13:22:53.169,-1,1,-1
13:22:53.170,3,4,-1
13:22:53.170,0,1,-3
13:22:53.170,-3,0,-1
13:22:53.170,1,-1,-1
13:22:53.170,0,2,-3
13:22:53.170,2,-4,-2
13:22:53.170,3,-1,-3
