TimeStamp,X,Y,Z
13:54:53.489,1,0,-2
13:54:53.489,7,-3,-3
13:54:53.489,2,-6,-3
13:54:53.489,-3,2,-2
13:54:53.489,0,-1,-3
13:54:53.489,0,-2,-1
13:54:53.489,1,-3,-1
13:54:53.489,-4,-2,-3
13:54:53.489,1,-1,-2
13:54:53.489,-1,-1,-2
13:54:53.489,-8,-5,-1
13:54:53.489,-4,-2,-4
13:54:53.489,1,2,-2
13:54:53.489,-4,-5,-3
13:54:53.489,-5,-1,-3
13:54:53.489,-2,-3,-4
13:54:53.489,-3,-2,-3
13:54:53.489,-1,-5,-3
13:54:53.489,1,-3,-2
13:54:53.489,2,-1,-2
13:54:53.489,0,-1,-3
13:54:53.489,0,0,-3
13:54:53.489,4,0,-2
13:54:53.489,1,-1,-4
13:54:53.489,-4,-4,-3
13:54:53.489,-3,-1,-3
13:54:53.489,-2,1,-1
13:54:53.489,-1,2,-1
13:54:53.521,-4,-4,-2
13:54:53.521,-4,-2,-3
13:54:53.521,1,-6,-3
13:54:53.521,-3,0,-2
13:54:53.521,-3,-5,-4
13:54:53.521,0,0,-5
13:54:53.521,-1,-1,-3
13:54:53.521,-5,-2,-3
13:54:53.521,-5,-2,-2
13:54:53.521,0,-1,-4
13:54:53.521,1,-2,-1
13:54:53.521,-5,0,-3
13:54:53.521,1,-3,-3
13:54:53.521,-1,-2,-2
13:54:53.521,1,-4,-4
13:54:53.521,-2,6,-2
13:54:53.521,2,-3,-3
13:54:53.521,-5,-1,-2
13:54:53.521,-4,0,-2
13:54:53.521,-5,-4,-2
13:54:53.522,1,0,-3
13:54:53.522,-2,-5,-3
13:54:53.522,-1,0,-3
13:54:53.522,0,-2,-4
13:54:53.522,-5,-4,-4
13:54:53.522,-4,-1,-3
13:54:53.522,-4,-3,-4
13:54:53.522,4,-1,-1
13:54:53.522,1,-4,-3
13:54:53.522,-3,1,-2
13:54:53.522,-2,-2,-2
13:54:53.522,1,-1,-2
13:54:53.522,0,0,-3
13:54:53.522,-5,-1,-3
13:54:53.550,-1,-2,-3
13:54:53.550,-7,-5,-4
13:54:53.550,-5,-3,-4
13:54:53.550,-6,1,-1
13:54:53.550,2,-6,-3
13:54:53.550,-3,1,-2
13:54:53.550,-2,-3,-3
13:54:53.550,-1,-2,-3
13:54:53.550,-3,-1,-3
13:54:53.550,-2,-4,-4
13:54:53.550,2,0,-3
13:54:53.550,-1,-5,-5
13:54:53.550,-3,-4,-4
13:54:53.550,-3,2,-2
13:54:53.550,2,-2,-1
13:54:53.550,-4,-3,-2
13:54:53.550,3,-1,-3
13:54:53.550,-1,-1,-2
13:54:53.550,-6,-5,-2
13:54:53.550,-2,-5,-2
13:54:53.550,-3,-2,-2
13:54:53.550,2,-1,-3
13:54:53.550,2,-5,-4
13:54:53.550,-4,-2,-3
13:54:53.550,0,-4,-3
13:54:53.550,2,-6,-3
13:54:53.550,-1,-2,-3
13:54:53.550,0,0,-3
13:54:53.582,-3,0,-2
13:54:53.582,5,-2,-2
13:54:53.582,-3,4,-4
13:54:53.582,1,-1,-3
13:54:53.582,2,-2,-2
13:54:53.582,4,1,-2
13:54:53.582,2,-2,-3
13:54:53.582,-2,-2,-2
13:54:53.582,1,-4,-3
13:54:53.582,-6,0,-2
13:54:53.582,-2,2,-2
13:54:53.582,-4,-3,-2
13:54:53.582,-9,-2,-3
13:54:53.582,-2,1,-3
13:54:53.582,0,0,-2
13:54:53.582,0,-4,-3
13:54:53.583,0,-2,-2
13:54:53.583,0,-3,-2
13:54:53.583,-5,-1,-2
13:54:53.583,-2,-2,-3
13:54:53.583,1,-1,-2
13:54:53.583,-1,0,-4
13:54:53.583,-4,-4,-2
13:54:53.583,-4,-3,-2
13:54:53.583,-6,1,-1
13:54:53.583,-5,-5,-1
13:54:53.583,-5,-1,-2
13:54:53.583,-1,-3,-3
13:54:53.583,-1,-7,-3
13:54:53.583,-2,-4,-3
13:54:53.583,-1,-6,-4
13:54:53.583,-1,2,-5
13:54:53.583,-2,-4,-2
13:54:53.611,-1,-3,-3
13:54:53.611,-5,-1,-3
13:54:53.611,2,0,-2
13:54:53.611,0,1,-2
13:54:53.611,-3,-1,-3
13:54:53.612,-1,1,-3
13:54:53.612,1,-3,-2
13:54:53.612,0,-2,-2
13:54:53.612,0,2,-3
13:54:53.612,0,-3,-3
13:54:53.612,-4,-3,-3
13:54:53.612,-2,-4,-4
13:54:53.612,-2,-2,-2
13:54:53.612,-2,-4,-3
13:54:53.612,-5,0,-4
13:54:53.612,-3,-3,-2
13:54:53.612,-1,-1,-3
13:54:53.612,0,0,-3
13:54:53.612,-7,-1,-2
13:54:53.612,1,-3,-3
13:54:53.612,3,-2,-2
13:54:53.612,-1,-4,-3
13:54:53.612,1,-2,-5
13:54:53.612,-1,-1,-2
13:54:53.612,4,-1,-3
13:54:53.612,-1,-1,-2
13:54:53.612,-2,-3,-3
13:54:53.612,1,-1,-4
13:54:53.612,-6,-5,-3
13:54:53.612,-3,-4,-3
13:54:53.644,-1,2,-2
13:54:53.644,-1,-3,-3
13:54:53.644,2,1,-2
13:54:53.644,1,-2,-2
13:54:53.644,-3,-2,-2
13:54:53.644,0,-2,-3
13:54:53.644,-2,-2,-3
13:54:53.644,0,0,-2
13:54:53.644,1,-7,-2
13:54:53.644,-1,-1,-3
13:54:53.644,0,1,-3
13:54:53.644,-2,2,-1
13:54:53.644,-5,-2,-3
13:54:53.644,-4,0,-2
13:54:53.644,-5,-4,-2
13:54:53.644,0,-3,-2
13:54:53.644,-4,-3,-4
13:54:53.644,-5,-3,-3
13:54:53.644,-1,-4,-3
13:54:53.644,-2,-6,-2
13:54:53.644,-7,-1,-3
13:54:53.644,-2,-1,-3
13:54:53.644,1,-3,-2
13:54:53.644,-2,-2,-2
13:54:53.644,0,-1,-2
13:54:53.644,0,0,-3
13:54:53.644,2,-2,-3
13:54:53.644,-4,4,-3
13:54:53.644,4,0,-3
13:54:53.644,0,-2,-3
13:54:53.644,-3,-3,-2
13:54:53.644,-7,-4,-3
13:54:53.676,-2,-3,-2
13:54:53.676,1,-3,-3
13:54:53.676,-4,-2,-2
13:54:53.676,0,-2,-4
13:54:53.676,-1,-6,-3
13:54:53.676,-7,2,-3
13:54:53.676,-4,-3,-3
13:54:53.676,1,0,-3
13:54:53.676,-1,-5,-4
13:54:53.676,-4,-1,-4
13:54:53.676,1,-1,-2
13:54:53.676,1,-2,-3
13:54:53.676,1,-2,-3
13:54:53.676,2,-1,-3
13:54:53.676,-2,-2,-3
13:54:53.676,-7,-3,-2
13:54:53.676,-2,-3,-2
13:54:53.676,-2,1,-2
13:54:53.676,-3,-2,-2
13:54:53.676,-4,-1,-3
13:54:53.676,-1,-2,-3
13:54:53.676,-4,-3,-3
13:54:53.676,-3,-1,-2
13:54:53.676,-4,-2,-2
13:54:53.676,-1,-1,-3
13:54:53.676,-3,-4,-2
13:54:53.676,-3,-2,-3
13:54:53.676,-5,1,-3
13:54:53.676,2,-3,-2
13:54:53.676,-5,-1,-2
13:54:53.676,1,-1,-3
13:54:53.707,0,-4,-2
13:54:53.707,-2,-2,-2
13:54:53.708,2,-2,-3
13:54:53.708,-2,0,-3
13:54:53.708,2,-3,-2
13:54:53.708,0,-2,-2
13:54:53.708,-6,-4,-3
13:54:53.708,0,0,-3
13:54:53.708,-4,-6,-3
13:54:53.708,-6,0,-2
13:54:53.708,1,-1,-2
13:54:53.708,3,-5,-4
13:54:53.708,-2,0,-3
13:54:53.708,-1,0,-3
13:54:53.708,-1,-4,-3
13:54:53.708,2,-4,-3
13:54:53.708,0,-6,-2
13:54:53.708,-3,-2,-3
13:54:53.708,-2,-4,-2
13:54:53.708,2,-3,-3
13:54:53.708,-2,-2,-2
13:54:53.708,-2,-1,-1
13:54:53.708,-5,-7,-3
13:54:53.708,-5,-5,-3
13:54:53.708,-6,-3,-4
13:54:53.708,-1,-1,-4
13:54:53.708,1,-7,-3
13:54:53.708,-4,-3,-2
13:54:53.708,-2,1,-1
13:54:53.708,-1,-2,-3
13:54:53.708,0,2,-2
13:54:53.708,-1,-1,-2
13:54:53.708,-3,-2,-5
13:54:53.737,-1,-6,-3
13:54:53.737,-3,0,-4
13:54:53.737,-3,0,-3
13:54:53.737,1,-2,-2
13:54:53.737,-7,-1,-3
13:54:53.738,-3,-1,-3
13:54:53.738,1,-3,-4
13:54:53.738,-1,-4,-3
13:54:53.738,-1,-3,-3
13:54:53.738,0,-1,-6
13:54:53.738,-2,-4,-2
13:54:53.738,-2,-4,-3
13:54:53.738,-3,-1,-3
13:54:53.738,3,0,-3
13:54:53.738,-2,1,-2
13:54:53.738,-1,-1,-2
13:54:53.738,-1,-5,-3
13:54:53.738,0,-2,-1
13:54:53.738,0,-3,-2
13:54:53.738,-6,3,-3
