time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-10T13-59-49,1515589189348,0.87317073,-0.06341463,0.5048544,0.87317073
2018-1-10T13-59-49,1515589189349,0.86341465,-0.13170731,0.4563107,0.86341465
2018-1-10T13-59-49,1515589189350,0.84390247,-0.08292683,0.4563107,0.84390247
2018-1-10T13-59-49,1515589189351,0.79512197,-0.07317073,0.4563107,0.79512197
2018-1-10T13-59-49,1515589189352,0.85365856,-0.07317073,0.47572815,0.85365856
2018-1-10T13-59-49,1515589189353,0.82439023,-0.07317073,0.44660193,0.82439023
2018-1-10T13-59-49,1515589189354,0.84390247,-0.08292683,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189355,0.86341465,-0.053658538,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189356,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189357,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189358,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189359,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189360,0.84390247,-0.08292683,0.49514562,0.84390247
2018-1-10T13-59-49,1515589189361,0.87317073,-0.09268293,0.4368932,0.87317073
2018-1-10T13-59-49,1515589189362,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189363,0.8341463,-0.10243902,0.42718446,0.8341463
2018-1-10T13-59-49,1515589189364,0.86341465,-0.14146341,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189365,0.85365856,-0.09268293,0.407767,0.85365856
2018-1-10T13-59-49,1515589189366,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189367,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189368,0.86341465,-0.06341463,0.4563107,0.86341465
2018-1-10T13-59-49,1515589189369,0.86341465,-0.08292683,0.42718446,0.86341465
2018-1-10T13-59-49,1515589189370,0.84390247,-0.06341463,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189371,0.85365856,-0.09268293,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189372,0.85365856,-0.07317073,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189373,0.84390247,-0.15121952,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189374,0.87317073,-0.06341463,0.4563107,0.87317073
2018-1-10T13-59-49,1515589189375,0.85365856,-0.08292683,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189376,0.85365856,-0.07317073,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189377,0.79512197,-0.09268293,0.46601942,0.79512197
2018-1-10T13-59-49,1515589189378,0.85365856,-0.09268293,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189379,0.84390247,-0.09268293,0.4563107,0.84390247
2018-1-10T13-59-49,1515589189380,0.85365856,-0.09268293,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189381,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189382,0.84390247,-0.09268293,0.4563107,0.84390247
2018-1-10T13-59-49,1515589189383,0.84390247,-0.08292683,0.44660193,0.84390247
2018-1-10T13-59-49,1515589189384,0.8341463,-0.06341463,0.4368932,0.8341463
2018-1-10T13-59-49,1515589189385,0.85365856,-0.06341463,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189386,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189387,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189388,0.84390247,-0.06341463,0.44660193,0.84390247
2018-1-10T13-59-49,1515589189389,0.85365856,-0.06341463,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189390,0.86341465,-0.09268293,0.41747573,0.86341465
2018-1-10T13-59-49,1515589189391,0.86341465,-0.07317073,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189392,0.85365856,-0.08292683,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189393,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189394,0.86341465,-0.09268293,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189395,0.87317073,-0.10243902,0.4368932,0.87317073
2018-1-10T13-59-49,1515589189396,0.86341465,-0.07317073,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189397,0.84390247,-0.09268293,0.47572815,0.84390247
2018-1-10T13-59-49,1515589189398,0.85365856,-0.09268293,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189399,0.84390247,-0.09268293,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189400,0.85365856,-0.06341463,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189401,0.86341465,-0.11219512,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189402,0.87317073,-0.07317073,0.44660193,0.87317073
2018-1-10T13-59-49,1515589189403,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189404,0.85365856,-0.034146342,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189405,0.86341465,-0.09268293,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189406,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189407,0.84390247,-0.08292683,0.44660193,0.84390247
2018-1-10T13-59-49,1515589189408,0.84390247,-0.08292683,0.41747573,0.84390247
2018-1-10T13-59-49,1515589189409,0.85365856,0.004878049,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189410,0.84390247,-0.014634146,0.42718446,0.84390247
2018-1-10T13-59-49,1515589189411,0.86341465,-0.08292683,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189412,0.85365856,-0.09268293,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189413,0.86341465,-0.06341463,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189414,0.85365856,-0.08292683,0.3883495,0.85365856
2018-1-10T13-59-49,1515589189415,0.8829268,0.004878049,0.44660193,0.8829268
2018-1-10T13-59-49,1515589189416,0.7853659,-0.09268293,0.4563107,0.7853659
2018-1-10T13-59-49,1515589189417,0.85365856,-0.08292683,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189418,0.84390247,-0.10243902,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189419,0.85365856,-0.06341463,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189420,0.82439023,-0.07317073,0.41747573,0.82439023
2018-1-10T13-59-49,1515589189421,0.86341465,-0.07317073,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189422,0.86341465,-0.07317073,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189423,0.87317073,-0.06341463,0.4368932,0.87317073
2018-1-10T13-59-49,1515589189424,0.86341465,-0.08292683,0.4563107,0.86341465
2018-1-10T13-59-49,1515589189425,0.84390247,-0.09268293,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189426,0.87317073,-0.08292683,0.4563107,0.87317073
2018-1-10T13-59-49,1515589189427,0.84390247,-0.09268293,0.41747573,0.84390247
2018-1-10T13-59-49,1515589189428,0.85365856,-0.07317073,0.44660193,0.85365856
2018-1-10T13-59-49,1515589189429,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189430,0.85365856,-0.07317073,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189431,0.87317073,-0.09268293,0.41747573,0.87317073
2018-1-10T13-59-49,1515589189432,0.86341465,-0.053658538,0.4854369,0.86341465
2018-1-10T13-59-49,1515589189433,0.86341465,-0.09268293,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189434,0.85365856,-0.06341463,0.36893204,0.85365856
2018-1-10T13-59-49,1515589189435,0.84390247,-0.07317073,0.42718446,0.84390247
2018-1-10T13-59-49,1515589189436,0.86341465,-0.14146341,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189437,0.86341465,-0.08292683,0.42718446,0.86341465
2018-1-10T13-59-49,1515589189438,0.87317073,-0.07317073,0.42718446,0.87317073
2018-1-10T13-59-49,1515589189439,0.84390247,-0.06341463,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189440,0.84390247,-0.09268293,0.42718446,0.84390247
2018-1-10T13-59-49,1515589189441,0.85365856,-0.09268293,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189442,0.84390247,-0.09268293,0.42718446,0.84390247
2018-1-10T13-59-49,1515589189443,0.86341465,-0.07317073,0.4368932,0.86341465
2018-1-10T13-59-49,1515589189444,0.85365856,-0.08292683,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189445,0.84390247,-0.07317073,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189446,0.84390247,-0.07317073,0.42718446,0.84390247
2018-1-10T13-59-49,1515589189447,0.85365856,-0.12195122,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189448,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189449,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T13-59-49,1515589189450,0.85365856,-0.08292683,0.42718446,0.85365856
2018-1-10T13-59-49,1515589189451,0.87317073,-0.07317073,0.44660193,0.87317073
2018-1-10T13-59-49,1515589189452,0.87317073,-0.08292683,0.4368932,0.87317073
2018-1-10T13-59-49,1515589189453,0.86341465,-0.07317073,0.44660193,0.86341465
2018-1-10T13-59-49,1515589189454,0.84390247,-0.07317073,0.4368932,0.84390247
2018-1-10T13-59-49,1515589189455,0.87317073,-0.07317073,0.4368932,0.87317073
2018-1-10T13-59-49,1515589189456,0.85365856,-0.07317073,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189457,0.86341465,-0.11219512,0.42718446,0.86341465
2018-1-10T13-59-49,1515589189458,0.85365856,-0.07317073,0.4563107,0.85365856
2018-1-10T13-59-49,1515589189459,0.85365856,-0.09268293,0.4368932,0.85365856
