time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-10T14-8-26,1515589706186,0.8829268,-0.08292683,0.44660193,0.8829268
2018-1-10T14-8-26,1515589706187,0.86341465,-0.053658538,0.44660193,0.86341465
2018-1-10T14-8-26,1515589706188,0.86341465,-0.07317073,0.4563107,0.86341465
2018-1-10T14-8-26,1515589706189,0.85365856,-0.07317073,0.44660193,0.85365856
2018-1-10T14-8-26,1515589706190,0.85365856,-0.06341463,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706191,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706192,0.85365856,-0.09268293,0.407767,0.85365856
2018-1-10T14-8-26,1515589706193,0.84390247,-0.09268293,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706194,0.86341465,-0.14146341,0.407767,0.86341465
2018-1-10T14-8-26,1515589706195,0.86341465,-0.09268293,0.4368932,0.86341465
2018-1-10T14-8-26,1515589706196,0.85365856,-0.17073171,0.44660193,0.85365856
2018-1-10T14-8-26,1515589706197,0.87317073,-0.08292683,0.42718446,0.87317073
2018-1-10T14-8-26,1515589706198,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706199,0.84390247,-0.08292683,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706200,0.84390247,-0.09268293,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706201,0.84390247,-0.08292683,0.41747573,0.84390247
2018-1-10T14-8-26,1515589706202,0.86341465,-0.08292683,0.5048544,0.86341465
2018-1-10T14-8-26,1515589706203,0.85365856,-0.08292683,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706204,0.85365856,-0.08292683,0.5145631,0.85365856
2018-1-10T14-8-26,1515589706205,0.84390247,-0.09268293,0.41747573,0.84390247
2018-1-10T14-8-26,1515589706206,0.82439023,-0.08292683,0.4368932,0.82439023
2018-1-10T14-8-26,1515589706207,0.84390247,-0.08292683,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706208,0.76585364,-0.09268293,0.41747573,0.76585364
2018-1-10T14-8-26,1515589706209,0.87317073,-0.08292683,0.42718446,0.87317073
2018-1-10T14-8-26,1515589706210,0.85365856,-0.09268293,0.39805827,0.85365856
2018-1-10T14-8-26,1515589706211,0.87317073,-0.09268293,0.42718446,0.87317073
2018-1-10T14-8-26,1515589706212,0.85365856,-0.09268293,0.4368932,0.85365856
2018-1-10T14-8-26,1515589706213,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706214,0.85365856,-0.08292683,0.4368932,0.85365856
2018-1-10T14-8-26,1515589706215,0.8341463,-0.08292683,0.407767,0.8341463
2018-1-10T14-8-26,1515589706216,0.86341465,-0.10243902,0.5145631,0.86341465
2018-1-10T14-8-26,1515589706217,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706218,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706219,0.85365856,-0.09268293,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706220,0.85365856,-0.08292683,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706221,0.86341465,-0.09268293,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706222,0.86341465,-0.08292683,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706223,0.84390247,-0.08292683,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706224,0.86341465,-0.08292683,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706225,0.86341465,-0.08292683,0.4368932,0.86341465
2018-1-10T14-8-26,1515589706226,0.85365856,-0.08292683,0.3883495,0.85365856
2018-1-10T14-8-26,1515589706227,0.85365856,-0.09268293,0.4368932,0.85365856
2018-1-10T14-8-26,1515589706228,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706229,0.86341465,-0.08292683,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706230,0.86341465,-0.10243902,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706231,0.85365856,-0.07317073,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706232,0.8829268,-0.08292683,0.42718446,0.8829268
2018-1-10T14-8-26,1515589706233,0.85365856,-0.08292683,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706234,0.85365856,-0.17073171,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706235,0.85365856,-0.10243902,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706236,0.85365856,-0.08292683,0.36893204,0.85365856
2018-1-10T14-8-26,1515589706237,0.85365856,-0.08292683,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706238,0.85365856,-0.08292683,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706239,0.85365856,-0.07317073,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706240,0.75609756,-0.08292683,0.42718446,0.75609756
2018-1-10T14-8-26,1515589706241,0.86341465,-0.08292683,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706242,0.85365856,-0.17073171,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706243,0.85365856,-0.09268293,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706244,0.8341463,-0.09268293,0.41747573,0.8341463
2018-1-10T14-8-26,1515589706245,0.84390247,-0.08292683,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706246,0.84390247,-0.08292683,0.41747573,0.84390247
2018-1-10T14-8-26,1515589706247,0.86341465,0.004878049,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706248,0.84390247,-0.08292683,0.42718446,0.84390247
2018-1-10T14-8-26,1515589706249,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706250,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706251,0.87317073,-0.09268293,0.41747573,0.87317073
2018-1-10T14-8-26,1515589706252,0.82439023,-0.08292683,0.41747573,0.82439023
2018-1-10T14-8-26,1515589706253,0.86341465,-0.10243902,0.407767,0.86341465
2018-1-10T14-8-26,1515589706254,0.85365856,-0.09268293,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706255,0.86341465,-0.06341463,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706256,0.85365856,-0.10243902,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706257,0.85365856,-0.09268293,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706258,0.86341465,-0.10243902,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706259,0.86341465,-0.09268293,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706260,0.86341465,-0.10243902,0.41747573,0.86341465
2018-1-10T14-8-26,1515589706261,0.77560973,-0.08292683,0.39805827,0.77560973
2018-1-10T14-8-26,1515589706262,0.8829268,-0.09268293,0.4368932,0.8829268
2018-1-10T14-8-26,1515589706263,0.86341465,-0.08292683,0.4368932,0.86341465
2018-1-10T14-8-26,1515589706264,0.85365856,-0.08292683,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706265,0.86341465,-0.09268293,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706266,0.85365856,-0.08292683,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706267,0.86341465,-0.09268293,0.39805827,0.86341465
2018-1-10T14-8-26,1515589706268,0.85365856,-0.09268293,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706269,0.86341465,-0.10243902,0.42718446,0.86341465
2018-1-10T14-8-26,1515589706270,0.85365856,-0.09268293,0.41747573,0.85365856
2018-1-10T14-8-26,1515589706271,0.85365856,-0.10243902,0.42718446,0.85365856
2018-1-10T14-8-26,1515589706272,0.86341465,-0.10243902,0.42718446,0.86341465
