time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-10T14-54-46,1515592486224,0.87317073,0.034146342,0.46601942,0.87317073
2018-1-10T14-54-46,1515592486225,0.86341465,0.024390243,0.46601942,0.86341465
2018-1-10T14-54-46,1515592486226,0.8829268,0.024390243,0.46601942,0.8829268
2018-1-10T14-54-46,1515592486227,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486228,0.87317073,0.024390243,0.44660193,0.87317073
2018-1-10T14-54-46,1515592486229,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-10T14-54-46,1515592486230,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-10T14-54-46,1515592486231,0.77560973,0.014634146,0.44660193,0.77560973
2018-1-10T14-54-46,1515592486232,0.87317073,-0.043902438,0.4368932,0.87317073
2018-1-10T14-54-46,1515592486233,0.86341465,0.014634146,0.4563107,0.86341465
2018-1-10T14-54-46,1515592486234,0.87317073,0.014634146,0.46601942,0.87317073
2018-1-10T14-54-46,1515592486235,0.86341465,0.014634146,0.4563107,0.86341465
2018-1-10T14-54-46,1515592486236,0.77560973,0.004878049,0.44660193,0.77560973
2018-1-10T14-54-46,1515592486237,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-10T14-54-46,1515592486238,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-10T14-54-46,1515592486239,0.85365856,-0.014634146,0.42718446,0.85365856
2018-1-10T14-54-46,1515592486240,0.86341465,0.12195122,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486241,0.86341465,-0.004878049,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486242,0.8829268,0.004878049,0.44660193,0.8829268
2018-1-10T14-54-46,1515592486243,0.85365856,0.014634146,0.44660193,0.85365856
2018-1-10T14-54-46,1515592486244,0.91219515,0.06341463,0.44660193,0.91219515
2018-1-10T14-54-46,1515592486245,0.86341465,0.014634146,0.41747573,0.86341465
2018-1-10T14-54-46,1515592486246,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-10T14-54-46,1515592486247,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-10T14-54-46,1515592486248,0.86341465,0.024390243,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486249,0.84390247,0.004878049,0.4368932,0.84390247
2018-1-10T14-54-46,1515592486250,0.85365856,-0.004878049,0.39805827,0.85365856
2018-1-10T14-54-46,1515592486251,0.86341465,0.024390243,0.42718446,0.86341465
2018-1-10T14-54-46,1515592486252,0.86341465,0.09268293,0.4368932,0.86341465
2018-1-10T14-54-46,1515592486253,0.86341465,0.024390243,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486254,0.84390247,-0.07317073,0.5048544,0.84390247
2018-1-10T14-54-46,1515592486255,0.86341465,0.024390243,0.41747573,0.86341465
2018-1-10T14-54-46,1515592486256,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-10T14-54-46,1515592486257,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-10T14-54-46,1515592486258,0.87317073,0.004878049,0.4563107,0.87317073
2018-1-10T14-54-46,1515592486259,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-10T14-54-46,1515592486260,0.8341463,0.024390243,0.4368932,0.8341463
2018-1-10T14-54-46,1515592486261,0.77560973,0.004878049,0.44660193,0.77560973
2018-1-10T14-54-46,1515592486262,0.87317073,0.004878049,0.46601942,0.87317073
