time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-15T13-50-46,1516020646737,0.8829268,-0.053658538,0.42718446,0.8829268
2018-1-15T13-50-46,1516020646738,0.8829268,-0.014634146,0.41747573,0.8829268
2018-1-15T13-50-46,1516020646739,0.87317073,-0.053658538,0.3883495,0.87317073
2018-1-15T13-50-46,1516020646740,0.87317073,-0.043902438,0.407767,0.87317073
2018-1-15T13-50-46,1516020646741,0.86341465,-0.053658538,0.407767,0.86341465
2018-1-15T13-50-46,1516020646742,0.86341465,-0.06341463,0.407767,0.86341465
2018-1-15T13-50-46,1516020646743,0.86341465,-0.053658538,0.41747573,0.86341465
2018-1-15T13-50-46,1516020646744,0.8829268,-0.06341463,0.3883495,0.8829268
2018-1-15T13-50-46,1516020646745,0.85365856,0.014634146,0.39805827,0.85365856
2018-1-15T13-50-46,1516020646746,0.87317073,-0.053658538,0.3592233,0.87317073
2018-1-15T13-50-46,1516020646747,0.86341465,-0.053658538,0.37864077,0.86341465
2018-1-15T13-50-46,1516020646748,0.85365856,-0.053658538,0.41747573,0.85365856
2018-1-15T13-50-46,1516020646749,0.8341463,-0.06341463,0.39805827,0.8341463
2018-1-15T13-50-46,1516020646750,0.8829268,-0.06341463,0.407767,0.8829268
2018-1-15T13-50-46,1516020646751,0.87317073,-0.08292683,0.407767,0.87317073
2018-1-15T13-50-46,1516020646752,0.87317073,-0.06341463,0.39805827,0.87317073
2018-1-15T13-50-46,1516020646753,0.87317073,-0.06341463,0.407767,0.87317073
2018-1-15T13-50-46,1516020646754,0.87317073,-0.053658538,0.41747573,0.87317073
2018-1-15T13-50-46,1516020646755,0.86341465,0.004878049,0.407767,0.86341465
2018-1-15T13-50-46,1516020646756,0.85365856,-0.053658538,0.39805827,0.85365856
2018-1-15T13-50-46,1516020646757,0.87317073,-0.06341463,0.407767,0.87317073
2018-1-15T13-50-46,1516020646758,0.84390247,-0.07317073,0.41747573,0.84390247
2018-1-15T13-50-46,1516020646759,0.8829268,-0.053658538,0.407767,0.8829268
2018-1-15T13-50-46,1516020646760,0.87317073,-0.053658538,0.407767,0.87317073
2018-1-15T13-50-46,1516020646761,0.86341465,-0.07317073,0.39805827,0.86341465
2018-1-15T13-50-46,1516020646762,0.86341465,-0.043902438,0.407767,0.86341465
2018-1-15T13-50-46,1516020646763,0.87317073,-0.08292683,0.39805827,0.87317073
2018-1-15T13-50-46,1516020646764,0.87317073,-0.043902438,0.39805827,0.87317073
2018-1-15T13-50-46,1516020646765,0.8829268,-0.06341463,0.39805827,0.8829268
2018-1-15T13-50-46,1516020646766,0.87317073,-0.07317073,0.407767,0.87317073
2018-1-15T13-50-46,1516020646767,0.86341465,-0.053658538,0.41747573,0.86341465
2018-1-15T13-50-46,1516020646768,0.85365856,-0.10243902,0.42718446,0.85365856
2018-1-15T13-50-46,1516020646769,0.85365856,-0.06341463,0.42718446,0.85365856
2018-1-15T13-50-46,1516020646770,0.86341465,-0.06341463,0.3883495,0.86341465
2018-1-15T13-50-46,1516020646771,0.86341465,-0.06341463,0.407767,0.86341465
2018-1-15T13-50-46,1516020646772,0.86341465,-0.06341463,0.407767,0.86341465
2018-1-15T13-50-46,1516020646773,0.86341465,-0.053658538,0.39805827,0.86341465
2018-1-15T13-50-46,1516020646774,0.86341465,-0.053658538,0.42718446,0.86341465
2018-1-15T13-50-46,1516020646775,0.86341465,-0.08292683,0.39805827,0.86341465
2018-1-15T13-50-46,1516020646776,0.87317073,-0.053658538,0.407767,0.87317073
2018-1-15T13-50-46,1516020646777,0.8829268,-0.06341463,0.39805827,0.8829268
