time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-15T15-47-6,1516027626939,0.86341465,0.034146342,0.47572815,0.86341465
2018-1-15T15-47-6,1516027626940,0.86341465,0.024390243,0.46601942,0.86341465
2018-1-15T15-47-6,1516027626941,0.85365856,0.024390243,0.44660193,0.85365856
2018-1-15T15-47-6,1516027626942,0.84390247,0.024390243,0.41747573,0.84390247
2018-1-15T15-47-6,1516027626943,0.85365856,0.024390243,0.44660193,0.85365856
2018-1-15T15-47-6,1516027626944,0.85365856,0.014634146,0.44660193,0.85365856
2018-1-15T15-47-6,1516027626945,0.9317073,0.004878049,0.4368932,0.9317073
2018-1-15T15-47-6,1516027626946,0.86341465,0.024390243,0.42718446,0.86341465
2018-1-15T15-47-6,1516027626947,0.84390247,0.014634146,0.44660193,0.84390247
2018-1-15T15-47-6,1516027626948,0.86341465,0.014634146,0.49514562,0.86341465
2018-1-15T15-47-6,1516027626949,0.86341465,0.024390243,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626950,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626951,0.76585364,0.014634146,0.44660193,0.76585364
2018-1-15T15-47-6,1516027626952,0.85365856,-0.024390243,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626953,0.86341465,0.024390243,0.44660193,0.86341465
2018-1-15T15-47-6,1516027626954,0.87317073,0.014634146,0.4368932,0.87317073
2018-1-15T15-47-6,1516027626955,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626956,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626957,0.86341465,0.004878049,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626958,0.86341465,0.014634146,0.41747573,0.86341465
2018-1-15T15-47-6,1516027626959,0.86341465,0.06341463,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626960,0.85365856,0.014634146,0.44660193,0.85365856
2018-1-15T15-47-6,1516027626961,0.86341465,-0.024390243,0.44660193,0.86341465
2018-1-15T15-47-6,1516027626962,0.85365856,0.034146342,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626963,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626964,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-15T15-47-6,1516027626965,0.85365856,-0.014634146,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626966,0.86341465,0.014634146,0.41747573,0.86341465
2018-1-15T15-47-6,1516027626967,0.85365856,0.014634146,0.44660193,0.85365856
2018-1-15T15-47-6,1516027626968,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626969,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626970,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626971,0.85365856,0.014634146,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626972,0.85365856,0.024390243,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626973,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626974,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626975,0.86341465,0.024390243,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626976,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626977,0.86341465,0.024390243,0.42718446,0.86341465
2018-1-15T15-47-6,1516027626978,0.87317073,0.014634146,0.42718446,0.87317073
2018-1-15T15-47-6,1516027626979,0.86341465,0.014634146,0.42718446,0.86341465
2018-1-15T15-47-6,1516027626980,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626981,0.84390247,0.024390243,0.4854369,0.84390247
2018-1-15T15-47-6,1516027626982,0.86341465,0.053658538,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626983,0.86341465,0.024390243,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626984,0.91219515,0.014634146,0.42718446,0.91219515
2018-1-15T15-47-6,1516027626985,0.86341465,0.034146342,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626986,0.84390247,0.014634146,0.4368932,0.84390247
2018-1-15T15-47-6,1516027626987,0.86341465,0.004878049,0.42718446,0.86341465
2018-1-15T15-47-6,1516027626988,0.86341465,0.024390243,0.41747573,0.86341465
2018-1-15T15-47-6,1516027626989,0.84390247,0.014634146,0.42718446,0.84390247
2018-1-15T15-47-6,1516027626990,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626991,0.87317073,0.014634146,0.44660193,0.87317073
2018-1-15T15-47-6,1516027626992,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626993,0.85365856,0.004878049,0.41747573,0.85365856
2018-1-15T15-47-6,1516027626994,0.85365856,0.014634146,0.42718446,0.85365856
2018-1-15T15-47-6,1516027626995,0.86341465,0.024390243,0.4368932,0.86341465
2018-1-15T15-47-6,1516027626996,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626997,0.86341465,0.014634146,0.52427185,0.86341465
2018-1-15T15-47-6,1516027626998,0.85365856,-0.014634146,0.4368932,0.85365856
2018-1-15T15-47-6,1516027626999,0.86341465,0.014634146,0.42718446,0.86341465
2018-1-15T15-47-7,1516027627000,0.86341465,0.034146342,0.42718446,0.86341465
2018-1-15T15-47-7,1516027627001,0.84390247,0.034146342,0.36893204,0.84390247
2018-1-15T15-47-7,1516027627002,0.85365856,0.024390243,0.44660193,0.85365856
