time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-15T15-18-28,1516025908296,0.81463414,-0.004878049,0.4854369,0.81463414
2018-1-15T15-18-28,1516025908297,0.84390247,-0.053658538,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908298,0.85365856,-0.014634146,0.47572815,0.85365856
2018-1-15T15-18-28,1516025908299,0.8341463,-0.024390243,0.4563107,0.8341463
2018-1-15T15-18-28,1516025908300,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-18-28,1516025908301,0.82439023,-0.014634146,0.44660193,0.82439023
2018-1-15T15-18-28,1516025908302,0.85365856,-0.024390243,0.4563107,0.85365856
2018-1-15T15-18-28,1516025908303,0.8341463,-0.024390243,0.44660193,0.8341463
2018-1-15T15-18-28,1516025908304,0.84390247,-0.024390243,0.44660193,0.84390247
2018-1-15T15-18-28,1516025908305,0.8341463,-0.034146342,0.46601942,0.8341463
2018-1-15T15-18-28,1516025908306,0.85365856,-0.024390243,0.46601942,0.85365856
2018-1-15T15-18-28,1516025908307,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908308,0.84390247,-0.034146342,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908309,0.86341465,-0.034146342,0.44660193,0.86341465
2018-1-15T15-18-28,1516025908310,0.84390247,-0.024390243,0.47572815,0.84390247
2018-1-15T15-18-28,1516025908311,0.84390247,-0.014634146,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908312,0.84390247,-0.024390243,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908313,0.84390247,-0.024390243,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908314,0.85365856,-0.024390243,0.4563107,0.85365856
2018-1-15T15-18-28,1516025908315,0.84390247,-0.014634146,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908316,0.84390247,-0.014634146,0.44660193,0.84390247
2018-1-15T15-18-28,1516025908317,0.9609756,-0.024390243,0.4563107,0.9609756
2018-1-15T15-18-28,1516025908318,0.8341463,0.08292683,0.46601942,0.8341463
2018-1-15T15-18-28,1516025908319,0.85365856,-0.034146342,0.4563107,0.85365856
2018-1-15T15-18-28,1516025908320,0.85365856,-0.014634146,0.46601942,0.85365856
2018-1-15T15-18-28,1516025908321,0.8341463,-0.034146342,0.41747573,0.8341463
2018-1-15T15-18-28,1516025908322,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908323,0.8341463,-0.014634146,0.4563107,0.8341463
2018-1-15T15-18-28,1516025908324,0.84390247,-0.024390243,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908325,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908326,0.84390247,-0.014634146,0.44660193,0.84390247
2018-1-15T15-18-28,1516025908327,0.8341463,-0.014634146,0.41747573,0.8341463
2018-1-15T15-18-28,1516025908328,0.84390247,-0.004878049,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908329,0.84390247,-0.034146342,0.49514562,0.84390247
2018-1-15T15-18-28,1516025908330,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908331,0.84390247,0.08292683,0.49514562,0.84390247
2018-1-15T15-18-28,1516025908332,0.8341463,-0.024390243,0.47572815,0.8341463
2018-1-15T15-18-28,1516025908333,0.85365856,-0.024390243,0.4563107,0.85365856
2018-1-15T15-18-28,1516025908334,0.87317073,-0.024390243,0.4563107,0.87317073
2018-1-15T15-18-28,1516025908335,0.8341463,-0.024390243,0.46601942,0.8341463
2018-1-15T15-18-28,1516025908336,0.8926829,-0.024390243,0.4563107,0.8926829
2018-1-15T15-18-28,1516025908337,0.9317073,-0.004878049,0.47572815,0.9317073
2018-1-15T15-18-28,1516025908338,0.82439023,-0.024390243,0.46601942,0.82439023
2018-1-15T15-18-28,1516025908339,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-15T15-18-28,1516025908340,0.85365856,-0.024390243,0.44660193,0.85365856
2018-1-15T15-18-28,1516025908341,0.82439023,-0.024390243,0.49514562,0.82439023
2018-1-15T15-18-28,1516025908342,0.84390247,-0.014634146,0.46601942,0.84390247
2018-1-15T15-18-28,1516025908343,0.84390247,0.11219512,0.4368932,0.84390247
2018-1-15T15-18-28,1516025908344,0.8341463,-0.014634146,0.407767,0.8341463
