time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-15T15-9-28,1516025368017,0.86341465,0.014634146,0.46601942,0.86341465
2018-1-15T15-9-28,1516025368018,0.86341465,0.014634146,0.4563107,0.86341465
2018-1-15T15-9-28,1516025368019,0.86341465,0.004878049,0.46601942,0.86341465
2018-1-15T15-9-28,1516025368020,0.85365856,0.014634146,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368021,0.85365856,0.004878049,0.46601942,0.85365856
2018-1-15T15-9-28,1516025368022,0.85365856,-0.06341463,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368023,0.85365856,-0.014634146,0.34951457,0.85365856
2018-1-15T15-9-28,1516025368024,0.84390247,0.004878049,0.4563107,0.84390247
2018-1-15T15-9-28,1516025368025,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368026,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-15T15-9-28,1516025368027,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368028,0.86341465,-0.004878049,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368029,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368030,0.84390247,-0.004878049,0.46601942,0.84390247
2018-1-15T15-9-28,1516025368031,0.86341465,-0.004878049,0.4563107,0.86341465
2018-1-15T15-9-28,1516025368032,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368033,0.85365856,-0.004878049,0.407767,0.85365856
2018-1-15T15-9-28,1516025368034,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368035,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368036,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368037,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368038,0.85365856,-0.004878049,0.49514562,0.85365856
2018-1-15T15-9-28,1516025368039,0.84390247,0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368040,0.85365856,0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368041,0.84390247,0.06341463,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368042,0.87317073,-0.004878049,0.44660193,0.87317073
2018-1-15T15-9-28,1516025368043,0.86341465,0.004878049,0.42718446,0.86341465
2018-1-15T15-9-28,1516025368044,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368045,0.86341465,0.004878049,0.4368932,0.86341465
2018-1-15T15-9-28,1516025368046,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368047,0.85365856,0.004878049,0.42718446,0.85365856
2018-1-15T15-9-28,1516025368048,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368049,0.86341465,0.06341463,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368050,0.86341465,-0.004878049,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368051,0.86341465,-0.004878049,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368052,0.84390247,-0.004878049,0.42718446,0.84390247
2018-1-15T15-9-28,1516025368053,0.85365856,-0.014634146,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368054,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368055,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368056,0.84390247,-0.014634146,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368057,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368058,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368059,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368060,0.86341465,0.004878049,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368061,0.85365856,-0.014634146,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368062,0.86341465,-0.014634146,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368063,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368064,0.84390247,0.014634146,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368065,0.84390247,-0.043902438,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368066,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368067,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368068,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368069,0.86341465,-0.004878049,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368070,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368071,0.82439023,0.004878049,0.44660193,0.82439023
2018-1-15T15-9-28,1516025368072,0.84390247,0.004878049,0.4563107,0.84390247
2018-1-15T15-9-28,1516025368073,0.84390247,0.004878049,0.46601942,0.84390247
2018-1-15T15-9-28,1516025368074,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368075,0.8341463,-0.014634146,0.4563107,0.8341463
2018-1-15T15-9-28,1516025368076,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368077,0.84390247,-0.14146341,0.4563107,0.84390247
2018-1-15T15-9-28,1516025368078,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368079,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368080,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368081,0.86341465,0.06341463,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368082,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368083,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368084,0.85365856,0.004878049,0.39805827,0.85365856
2018-1-15T15-9-28,1516025368085,0.85365856,0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368086,0.8341463,-0.014634146,0.44660193,0.8341463
2018-1-15T15-9-28,1516025368087,0.85365856,-0.004878049,0.3398058,0.85365856
2018-1-15T15-9-28,1516025368088,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368089,0.85365856,-0.004878049,0.42718446,0.85365856
2018-1-15T15-9-28,1516025368090,0.85365856,0.004878049,0.46601942,0.85365856
2018-1-15T15-9-28,1516025368091,0.85365856,-0.004878049,0.46601942,0.85365856
2018-1-15T15-9-28,1516025368092,0.82439023,0.014634146,0.44660193,0.82439023
2018-1-15T15-9-28,1516025368093,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368094,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368095,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368096,0.86341465,-0.014634146,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368097,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368098,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-15T15-9-28,1516025368099,0.84390247,-0.014634146,0.5145631,0.84390247
2018-1-15T15-9-28,1516025368100,0.85365856,0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368101,0.87317073,-0.024390243,0.44660193,0.87317073
2018-1-15T15-9-28,1516025368102,0.84390247,-0.004878049,0.47572815,0.84390247
2018-1-15T15-9-28,1516025368103,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368104,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368105,0.84390247,0.014634146,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368106,0.82439023,-0.004878049,0.44660193,0.82439023
2018-1-15T15-9-28,1516025368107,0.86341465,-0.08292683,0.46601942,0.86341465
2018-1-15T15-9-28,1516025368108,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368109,0.85365856,-0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368110,0.85365856,-0.014634146,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368111,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368112,0.82439023,-0.014634146,0.42718446,0.82439023
2018-1-15T15-9-28,1516025368113,0.80487806,-0.004878049,0.42718446,0.80487806
2018-1-15T15-9-28,1516025368114,0.85365856,0.004878049,0.42718446,0.85365856
2018-1-15T15-9-28,1516025368115,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368116,0.84390247,-0.004878049,0.407767,0.84390247
2018-1-15T15-9-28,1516025368117,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368118,0.87317073,-0.004878049,0.44660193,0.87317073
2018-1-15T15-9-28,1516025368119,0.85365856,0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368120,0.86341465,-0.014634146,0.4368932,0.86341465
2018-1-15T15-9-28,1516025368121,0.84390247,-0.004878049,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368122,0.87317073,0.004878049,0.44660193,0.87317073
2018-1-15T15-9-28,1516025368123,0.85365856,0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368124,0.86341465,-0.10243902,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368125,0.84390247,0.06341463,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368126,0.9512195,0.004878049,0.47572815,0.9512195
2018-1-15T15-9-28,1516025368127,0.84390247,0.004878049,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368128,0.87317073,-0.004878049,0.44660193,0.87317073
2018-1-15T15-9-28,1516025368129,0.84390247,0.004878049,0.4854369,0.84390247
2018-1-15T15-9-28,1516025368130,0.85365856,0.053658538,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368131,0.85365856,0.014634146,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368132,0.85365856,0.004878049,0.4368932,0.85365856
2018-1-15T15-9-28,1516025368133,0.86341465,0.014634146,0.4368932,0.86341465
2018-1-15T15-9-28,1516025368134,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368135,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368136,0.85365856,0.014634146,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368137,0.84390247,-0.004878049,0.5339806,0.84390247
2018-1-15T15-9-28,1516025368138,0.85365856,-0.004878049,0.4563107,0.85365856
2018-1-15T15-9-28,1516025368139,0.85365856,0.06341463,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368140,0.84390247,0.004878049,0.4368932,0.84390247
2018-1-15T15-9-28,1516025368141,0.86341465,-0.004878049,0.5145631,0.86341465
2018-1-15T15-9-28,1516025368142,0.84390247,-0.014634146,0.44660193,0.84390247
2018-1-15T15-9-28,1516025368143,0.86341465,-0.004878049,0.4563107,0.86341465
2018-1-15T15-9-28,1516025368144,0.85365856,-0.004878049,0.44660193,0.85365856
2018-1-15T15-9-28,1516025368145,0.86341465,0.014634146,0.44660193,0.86341465
2018-1-15T15-9-28,1516025368146,0.85365856,-0.014634146,0.41747573,0.85365856
