time,timestamp,xAccel,yAccel,zAccel,xxx
2017-12-15T19-19-34,1513361974910,0.8341463,-0.06341463,0.5339806,0.8341463
2017-12-15T19-19-34,1513361974911,0.80487806,-0.11219512,0.5436893,0.80487806
2017-12-15T19-19-34,1513361974912,0.81463414,-0.06341463,0.3883495,0.81463414
2017-12-15T19-19-34,1513361974913,0.82439023,-0.06341463,0.5048544,0.82439023
2017-12-15T19-19-34,1513361974914,0.82439023,-0.1902439,0.49514562,0.82439023
2017-12-15T19-19-34,1513361974915,0.79512197,-0.06341463,0.5145631,0.79512197
2017-12-15T19-19-34,1513361974916,0.80487806,-0.053658538,0.52427185,0.80487806
2017-12-15T19-19-34,1513361974917,0.81463414,-0.053658538,0.5048544,0.81463414
2017-12-15T19-19-34,1513361974918,0.80487806,-0.043902438,0.5145631,0.80487806
2017-12-15T19-19-34,1513361974919,0.81463414,-0.08292683,0.52427185,0.81463414
2017-12-15T19-19-34,1513361974920,0.84390247,-0.06341463,0.5145631,0.84390247
2017-12-15T19-19-34,1513361974921,0.80487806,-0.06341463,0.5048544,0.80487806
2017-12-15T19-19-34,1513361974922,0.79512197,-0.053658538,0.5145631,0.79512197
2017-12-15T19-19-34,1513361974923,0.82439023,-0.11219512,0.4368932,0.82439023
2017-12-15T19-19-34,1513361974924,0.82439023,-0.043902438,0.5048544,0.82439023
2017-12-15T19-19-34,1513361974925,0.81463414,-0.034146342,0.49514562,0.81463414
2017-12-15T19-19-34,1513361974926,0.81463414,-0.07317073,0.5048544,0.81463414
2017-12-15T19-19-34,1513361974927,0.79512197,-0.07317073,0.49514562,0.79512197
2017-12-15T19-19-34,1513361974928,0.80487806,-0.053658538,0.5145631,0.80487806
2017-12-15T19-19-34,1513361974929,0.82439023,-0.09268293,0.5048544,0.82439023
2017-12-15T19-19-34,1513361974930,0.81463414,-0.07317073,0.52427185,0.81463414
2017-12-15T19-19-34,1513361974931,0.81463414,0.004878049,0.49514562,0.81463414
2017-12-15T19-19-34,1513361974932,0.80487806,-0.043902438,0.5048544,0.80487806
2017-12-15T19-19-34,1513361974933,0.79512197,-0.06341463,0.49514562,0.79512197
2017-12-15T19-19-34,1513361974934,0.80487806,-0.06341463,0.5048544,0.80487806
2017-12-15T19-19-34,1513361974935,0.80487806,-0.06341463,0.5145631,0.80487806
2017-12-15T19-19-34,1513361974936,0.82439023,-0.053658538,0.5048544,0.82439023
2017-12-15T19-19-34,1513361974937,0.81463414,-0.06341463,0.66019416,0.81463414
2017-12-15T19-19-34,1513361974938,0.81463414,-0.07317073,0.4854369,0.81463414
2017-12-15T19-19-34,1513361974939,0.80487806,-0.043902438,0.49514562,0.80487806
2017-12-15T19-19-34,1513361974940,0.81463414,-0.053658538,0.49514562,0.81463414
2017-12-15T19-19-34,1513361974941,0.79512197,-0.053658538,0.49514562,0.79512197
2017-12-15T19-19-34,1513361974942,0.79512197,-0.07317073,0.5048544,0.79512197
2017-12-15T19-19-34,1513361974943,0.81463414,-0.053658538,0.49514562,0.81463414
2017-12-15T19-19-34,1513361974944,0.82439023,-0.034146342,0.5145631,0.82439023
2017-12-15T19-19-34,1513361974945,0.7853659,-0.07317073,0.52427185,0.7853659
2017-12-15T19-19-34,1513361974946,0.80487806,-0.07317073,0.49514562,0.80487806
