time,timestamp,xAccel,yAccel,zAccel,xxx
2017-12-15T15-3-39,1513346619194,0.75609756,-0.024390243,0.63106793,0.75609756
2017-12-15T15-3-39,1513346619195,0.74634147,-0.034146342,0.61165047,0.74634147
2017-12-15T15-3-39,1513346619196,0.75609756,-0.10243902,0.61165047,0.75609756
2017-12-15T15-3-39,1513346619197,0.74634147,-0.024390243,0.61165047,0.74634147
2017-12-15T15-3-39,1513346619198,0.75609756,-0.014634146,0.6213592,0.75609756
2017-12-15T15-3-39,1513346619199,0.74634147,-0.024390243,0.6407767,0.74634147
2017-12-15T15-3-39,1513346619200,0.74634147,-0.024390243,0.5825243,0.74634147
2017-12-15T15-3-39,1513346619201,0.7365854,-0.034146342,0.60194176,0.7365854
2017-12-15T15-3-39,1513346619202,0.7365854,0.034146342,0.61165047,0.7365854
2017-12-15T15-3-39,1513346619203,0.74634147,-0.043902438,0.6213592,0.74634147
2017-12-15T15-3-39,1513346619204,0.75609756,-0.034146342,0.60194176,0.75609756
2017-12-15T15-3-39,1513346619205,0.7365854,-0.053658538,0.61165047,0.7365854
2017-12-15T15-3-39,1513346619206,0.75609756,-0.034146342,0.60194176,0.75609756
2017-12-15T15-3-39,1513346619207,0.74634147,-0.034146342,0.61165047,0.74634147
2017-12-15T15-3-39,1513346619208,0.74634147,-0.043902438,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619209,0.69756097,-0.024390243,0.63106793,0.69756097
2017-12-15T15-3-39,1513346619210,0.7365854,-0.043902438,0.61165047,0.7365854
2017-12-15T15-3-39,1513346619211,0.74634147,-0.014634146,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619212,0.75609756,-0.034146342,0.6213592,0.75609756
2017-12-15T15-3-39,1513346619213,0.7365854,-0.034146342,0.60194176,0.7365854
2017-12-15T15-3-39,1513346619214,0.74634147,-0.024390243,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619215,0.75609756,-0.043902438,0.6213592,0.75609756
2017-12-15T15-3-39,1513346619216,0.74634147,-0.034146342,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619217,0.74634147,-0.034146342,0.5825243,0.74634147
2017-12-15T15-3-39,1513346619218,0.7365854,-0.034146342,0.6213592,0.7365854
2017-12-15T15-3-39,1513346619219,0.7365854,-0.034146342,0.6213592,0.7365854
2017-12-15T15-3-39,1513346619220,0.71707314,-0.13170731,0.61165047,0.71707314
2017-12-15T15-3-39,1513346619221,0.7365854,-0.034146342,0.592233,0.7365854
2017-12-15T15-3-39,1513346619222,0.7268293,-0.15121952,0.6213592,0.7268293
2017-12-15T15-3-39,1513346619223,0.7365854,-0.034146342,0.592233,0.7365854
2017-12-15T15-3-39,1513346619224,0.7268293,-0.034146342,0.61165047,0.7268293
2017-12-15T15-3-39,1513346619225,0.74634147,-0.043902438,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619226,0.6682927,-0.024390243,0.61165047,0.6682927
2017-12-15T15-3-39,1513346619227,0.74634147,-0.043902438,0.592233,0.74634147
2017-12-15T15-3-39,1513346619228,0.7365854,-0.004878049,0.60194176,0.7365854
2017-12-15T15-3-39,1513346619229,0.7365854,-0.034146342,0.61165047,0.7365854
2017-12-15T15-3-39,1513346619230,0.74634147,-0.053658538,0.60194176,0.74634147
2017-12-15T15-3-39,1513346619231,0.7268293,-0.043902438,0.61165047,0.7268293
2017-12-15T15-3-39,1513346619232,0.74634147,-0.034146342,0.61165047,0.74634147
2017-12-15T15-3-39,1513346619233,0.74634147,-0.043902438,0.61165047,0.74634147
2017-12-15T15-3-39,1513346619234,0.7365854,-0.043902438,0.592233,0.7365854
2017-12-15T15-3-39,1513346619235,0.7365854,-0.043902438,0.60194176,0.7365854
2017-12-15T15-3-39,1513346619236,0.75609756,-0.034146342,0.60194176,0.75609756
2017-12-15T15-3-39,1513346619237,0.7853659,-0.034146342,0.61165047,0.7853659
2017-12-15T15-3-39,1513346619238,0.7365854,-0.034146342,0.61165047,0.7365854
2017-12-15T15-3-39,1513346619239,0.74634147,-0.034146342,0.592233,0.74634147
2017-12-15T15-3-39,1513346619240,0.74634147,-0.034146342,0.60194176,0.74634147
