time,timestamp,xAccel,yAccel,zAccel,xxx
2017-12-15T16-18-57,1513351137988,0.8341463,-0.06341463,0.5533981,0.8341463
2017-12-15T16-18-57,1513351137989,0.82439023,-0.053658538,0.5339806,0.82439023
2017-12-15T16-18-57,1513351137990,0.82439023,-0.06341463,0.52427185,0.82439023
2017-12-15T16-18-57,1513351137991,0.81463414,-0.06341463,0.4563107,0.81463414
2017-12-15T16-18-57,1513351137992,0.81463414,-0.043902438,0.5145631,0.81463414
2017-12-15T16-18-57,1513351137993,0.7853659,-0.06341463,0.5145631,0.7853659
2017-12-15T16-18-57,1513351137994,0.81463414,-0.10243902,0.5048544,0.81463414
2017-12-15T16-18-57,1513351137995,0.79512197,-0.06341463,0.5145631,0.79512197
2017-12-15T16-18-57,1513351137996,0.81463414,-0.06341463,0.49514562,0.81463414
2017-12-15T16-18-57,1513351137997,0.80487806,-0.043902438,0.47572815,0.80487806
2017-12-15T16-18-57,1513351137998,0.82439023,-0.06341463,0.5145631,0.82439023
2017-12-15T16-18-57,1513351137999,0.8341463,-0.06341463,0.52427185,0.8341463
2017-12-15T16-18-58,1513351138000,0.8341463,-0.07317073,0.5436893,0.8341463
2017-12-15T16-18-58,1513351138001,0.81463414,-0.07317073,0.5145631,0.81463414
2017-12-15T16-18-58,1513351138002,0.81463414,-0.08292683,0.5436893,0.81463414
2017-12-15T16-18-58,1513351138003,0.80487806,-0.053658538,0.52427185,0.80487806
2017-12-15T16-18-58,1513351138004,0.81463414,-0.08292683,0.5048544,0.81463414
2017-12-15T16-18-58,1513351138005,0.82439023,-0.07317073,0.5048544,0.82439023
2017-12-15T16-18-58,1513351138006,0.82439023,-0.06341463,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138007,0.82439023,-0.06341463,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138008,0.82439023,-0.06341463,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138009,0.80487806,-0.06341463,0.5339806,0.80487806
2017-12-15T16-18-58,1513351138010,0.77560973,-0.053658538,0.5048544,0.77560973
2017-12-15T16-18-58,1513351138011,0.81463414,-0.053658538,0.5145631,0.81463414
2017-12-15T16-18-58,1513351138012,0.8341463,0.024390243,0.5048544,0.8341463
2017-12-15T16-18-58,1513351138013,0.82439023,-0.07317073,0.5048544,0.82439023
2017-12-15T16-18-58,1513351138014,0.82439023,-0.06341463,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138015,0.82439023,-0.053658538,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138016,0.79512197,-0.06341463,0.5048544,0.79512197
2017-12-15T16-18-58,1513351138017,0.82439023,-0.053658538,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138018,0.82439023,-0.06341463,0.52427185,0.82439023
2017-12-15T16-18-58,1513351138019,0.79512197,-0.07317073,0.5145631,0.79512197
2017-12-15T16-18-58,1513351138020,0.82439023,-0.043902438,0.5145631,0.82439023
2017-12-15T16-18-58,1513351138021,0.81463414,-0.07317073,0.5145631,0.81463414
2017-12-15T16-18-58,1513351138022,0.80487806,-0.07317073,0.5145631,0.80487806
2017-12-15T16-18-58,1513351138023,0.8341463,-0.07317073,0.49514562,0.8341463
2017-12-15T16-18-58,1513351138024,0.84390247,-0.08292683,0.60194176,0.84390247
2017-12-15T16-18-58,1513351138025,0.81463414,-0.08292683,0.49514562,0.81463414
2017-12-15T16-18-58,1513351138026,0.82439023,-0.07317073,0.46601942,0.82439023
2017-12-15T16-18-58,1513351138027,0.81463414,-0.053658538,0.5048544,0.81463414
2017-12-15T16-18-58,1513351138028,0.76585364,-0.06341463,0.5145631,0.76585364
2017-12-15T16-18-58,1513351138029,0.82439023,-0.08292683,0.5048544,0.82439023
2017-12-15T16-18-58,1513351138030,0.81463414,-0.07317073,0.5048544,0.81463414
2017-12-15T16-18-58,1513351138031,0.8341463,-0.06341463,0.5145631,0.8341463
2017-12-15T16-18-58,1513351138032,0.81463414,-0.053658538,0.41747573,0.81463414
2017-12-15T16-18-58,1513351138033,0.82439023,-0.06341463,0.5145631,0.82439023
