time,timestamp,xAccel,yAccel,zAccel,xxx
2017-12-15T15-13-25,1513347205269,0.84390247,0.034146342,0.5436893,0.84390247
2017-12-15T15-13-25,1513347205270,0.82439023,-0.034146342,0.5436893,0.82439023
2017-12-15T15-13-25,1513347205271,0.82439023,-0.004878049,0.52427185,0.82439023
2017-12-15T15-13-25,1513347205272,0.8341463,-0.024390243,0.5145631,0.8341463
2017-12-15T15-13-25,1513347205273,0.8341463,-0.014634146,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205274,0.8926829,-0.014634146,0.5436893,0.8926829
2017-12-15T15-13-25,1513347205275,0.81463414,-0.09268293,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205276,0.81463414,-0.004878049,0.5048544,0.81463414
2017-12-15T15-13-25,1513347205277,0.82439023,-0.024390243,0.5145631,0.82439023
2017-12-15T15-13-25,1513347205278,0.81463414,-0.024390243,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205279,0.8341463,0.014634146,0.5339806,0.8341463
2017-12-15T15-13-25,1513347205280,0.81463414,0.004878049,0.52427185,0.81463414
2017-12-15T15-13-25,1513347205281,0.82439023,-0.024390243,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205282,0.82439023,-0.004878049,0.44660193,0.82439023
2017-12-15T15-13-25,1513347205283,0.80487806,-0.014634146,0.4854369,0.80487806
2017-12-15T15-13-25,1513347205284,0.81463414,-0.014634146,0.5048544,0.81463414
2017-12-15T15-13-25,1513347205285,0.82439023,0.004878049,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205286,0.82439023,-0.014634146,0.5145631,0.82439023
2017-12-15T15-13-25,1513347205287,0.8341463,-0.024390243,0.5339806,0.8341463
2017-12-15T15-13-25,1513347205288,0.8341463,-0.053658538,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205289,0.82439023,-0.014634146,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205290,0.82439023,-0.024390243,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205291,0.81463414,-0.004878049,0.5631068,0.81463414
2017-12-15T15-13-25,1513347205292,0.8341463,-0.004878049,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205293,0.8341463,-0.004878049,0.5145631,0.8341463
2017-12-15T15-13-25,1513347205294,0.82439023,-0.004878049,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205295,0.8341463,-0.024390243,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205296,0.82439023,-0.024390243,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205297,0.81463414,-0.024390243,0.57281554,0.81463414
2017-12-15T15-13-25,1513347205298,0.8926829,-0.053658538,0.5048544,0.8926829
2017-12-15T15-13-25,1513347205299,0.79512197,-0.004878049,0.49514562,0.79512197
2017-12-15T15-13-25,1513347205300,0.82439023,-0.014634146,0.5339806,0.82439023
2017-12-15T15-13-25,1513347205301,0.8341463,-0.034146342,0.49514562,0.8341463
2017-12-15T15-13-25,1513347205302,0.8341463,0.004878049,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205303,0.82439023,-0.024390243,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205304,0.81463414,-0.014634146,0.49514562,0.81463414
2017-12-15T15-13-25,1513347205305,0.81463414,-0.024390243,0.5048544,0.81463414
2017-12-15T15-13-25,1513347205306,0.82439023,-0.024390243,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205307,0.8341463,-0.024390243,0.5145631,0.8341463
2017-12-15T15-13-25,1513347205308,0.81463414,-0.024390243,0.49514562,0.81463414
2017-12-15T15-13-25,1513347205309,0.84390247,-0.034146342,0.5048544,0.84390247
2017-12-15T15-13-25,1513347205310,0.82439023,-0.024390243,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205311,0.8341463,-0.014634146,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205312,0.86341465,-0.024390243,0.49514562,0.86341465
2017-12-15T15-13-25,1513347205313,0.81463414,-0.024390243,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205314,0.80487806,-0.014634146,0.5048544,0.80487806
2017-12-15T15-13-25,1513347205315,0.81463414,-0.024390243,0.5825243,0.81463414
2017-12-15T15-13-25,1513347205316,0.82439023,-0.004878049,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205317,0.81463414,-0.024390243,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205318,0.85365856,-0.004878049,0.5048544,0.85365856
2017-12-15T15-13-25,1513347205319,0.81463414,-0.004878049,0.52427185,0.81463414
2017-12-15T15-13-25,1513347205320,0.84390247,-0.014634146,0.49514562,0.84390247
2017-12-15T15-13-25,1513347205321,0.8341463,-0.004878049,0.5145631,0.8341463
2017-12-15T15-13-25,1513347205322,0.84390247,-0.014634146,0.39805827,0.84390247
2017-12-15T15-13-25,1513347205323,0.82439023,0.034146342,0.60194176,0.82439023
2017-12-15T15-13-25,1513347205324,0.82439023,-0.024390243,0.5145631,0.82439023
2017-12-15T15-13-25,1513347205325,0.86341465,-0.034146342,0.5048544,0.86341465
2017-12-15T15-13-25,1513347205326,0.79512197,-0.024390243,0.5048544,0.79512197
2017-12-15T15-13-25,1513347205327,0.81463414,-0.034146342,0.4854369,0.81463414
2017-12-15T15-13-25,1513347205328,0.84390247,-0.014634146,0.49514562,0.84390247
2017-12-15T15-13-25,1513347205329,0.81463414,-0.024390243,0.49514562,0.81463414
2017-12-15T15-13-25,1513347205330,0.81463414,-0.014634146,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205331,0.86341465,0.004878049,0.4854369,0.86341465
2017-12-15T15-13-25,1513347205332,0.80487806,-0.014634146,0.5145631,0.80487806
2017-12-15T15-13-25,1513347205333,0.82439023,-0.004878049,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205334,0.8341463,-0.024390243,0.49514562,0.8341463
2017-12-15T15-13-25,1513347205335,0.8341463,-0.08292683,0.52427185,0.8341463
2017-12-15T15-13-25,1513347205336,0.82439023,-0.024390243,0.4854369,0.82439023
2017-12-15T15-13-25,1513347205337,0.82439023,-0.004878049,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205338,0.84390247,-0.034146342,0.5048544,0.84390247
2017-12-15T15-13-25,1513347205339,0.82439023,-0.024390243,0.52427185,0.82439023
2017-12-15T15-13-25,1513347205340,0.82439023,-0.004878049,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205341,0.81463414,-0.024390243,0.5048544,0.81463414
2017-12-15T15-13-25,1513347205342,0.8341463,-0.004878049,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205343,0.8341463,-0.014634146,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205344,0.81463414,-0.024390243,0.47572815,0.81463414
2017-12-15T15-13-25,1513347205345,0.82439023,-0.024390243,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205346,0.8341463,-0.024390243,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205347,0.8341463,-0.014634146,0.49514562,0.8341463
2017-12-15T15-13-25,1513347205348,0.82439023,-0.024390243,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205349,0.81463414,0.043902438,0.5048544,0.81463414
2017-12-15T15-13-25,1513347205350,0.75609756,-0.004878049,0.5145631,0.75609756
2017-12-15T15-13-25,1513347205351,0.8341463,-0.014634146,0.49514562,0.8341463
2017-12-15T15-13-25,1513347205352,0.82439023,-0.004878049,0.5048544,0.82439023
2017-12-15T15-13-25,1513347205353,0.82439023,-0.09268293,0.52427185,0.82439023
2017-12-15T15-13-25,1513347205354,0.82439023,-0.004878049,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205355,0.81463414,-0.014634146,0.49514562,0.81463414
2017-12-15T15-13-25,1513347205356,0.85365856,-0.024390243,0.4368932,0.85365856
2017-12-15T15-13-25,1513347205357,0.8341463,-0.024390243,0.44660193,0.8341463
2017-12-15T15-13-25,1513347205358,0.8341463,-0.053658538,0.5048544,0.8341463
2017-12-15T15-13-25,1513347205359,0.82439023,-0.014634146,0.49514562,0.82439023
2017-12-15T15-13-25,1513347205360,0.80487806,-0.014634146,0.46601942,0.80487806
2017-12-15T15-13-25,1513347205361,0.84390247,-0.014634146,0.49514562,0.84390247
2017-12-15T15-13-25,1513347205362,0.82439023,-0.014634146,0.5145631,0.82439023
2017-12-15T15-13-25,1513347205363,0.82439023,-0.004878049,0.4854369,0.82439023
2017-12-15T15-13-25,1513347205364,0.81463414,-0.024390243,0.49514562,0.81463414
2017-12-15T15-13-25,1513347205365,0.81463414,-0.024390243,0.5145631,0.81463414
2017-12-15T15-13-25,1513347205366,0.86341465,-0.043902438,0.5048544,0.86341465
2017-12-15T15-13-25,1513347205367,0.8341463,-0.014634146,0.4854369,0.8341463
2017-12-15T15-13-25,1513347205368,0.84390247,-0.014634146,0.5339806,0.84390247
2017-12-15T15-13-25,1513347205369,0.82439023,-0.014634146,0.5145631,0.82439023
2017-12-15T15-13-25,1513347205370,0.86341465,0.004878049,0.5145631,0.86341465
2017-12-15T15-13-25,1513347205371,0.8341463,-0.004878049,0.5145631,0.8341463
2017-12-15T15-13-25,1513347205372,0.79512197,-0.004878049,0.49514562,0.79512197
