time,timestamp,xAccel,yAccel,zAccel,xxx
2017-12-15T14-42-48,1513345368126,0.75609756,-0.014634146,0.61165047,0.75609756
2017-12-15T14-42-48,1513345368127,0.75609756,-0.024390243,0.65048546,0.75609756
2017-12-15T14-42-48,1513345368128,0.75609756,-0.024390243,0.6213592,0.75609756
2017-12-15T14-42-48,1513345368129,0.75609756,-0.034146342,0.61165047,0.75609756
2017-12-15T14-42-48,1513345368130,0.7365854,-0.034146342,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368131,0.7365854,-0.034146342,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368132,0.75609756,-0.034146342,0.592233,0.75609756
2017-12-15T14-42-48,1513345368133,0.7365854,-0.024390243,0.61165047,0.7365854
2017-12-15T14-42-48,1513345368134,0.74634147,-0.043902438,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368135,0.74634147,-0.043902438,0.6213592,0.74634147
2017-12-15T14-42-48,1513345368136,0.7365854,-0.043902438,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368137,0.74634147,-0.034146342,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368138,0.75609756,-0.034146342,0.60194176,0.75609756
2017-12-15T14-42-48,1513345368139,0.74634147,-0.024390243,0.592233,0.74634147
2017-12-15T14-42-48,1513345368140,0.74634147,-0.034146342,0.61165047,0.74634147
2017-12-15T14-42-48,1513345368141,0.74634147,-0.034146342,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368142,0.74634147,-0.034146342,0.61165047,0.74634147
2017-12-15T14-42-48,1513345368143,0.75609756,-0.08292683,0.60194176,0.75609756
2017-12-15T14-42-48,1513345368144,0.7365854,-0.043902438,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368145,0.74634147,-0.053658538,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368146,0.75609756,-0.043902438,0.61165047,0.75609756
2017-12-15T14-42-48,1513345368147,0.74634147,-0.043902438,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368148,0.74634147,-0.034146342,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368149,0.75609756,-0.024390243,0.592233,0.75609756
2017-12-15T14-42-48,1513345368150,0.74634147,-0.024390243,0.57281554,0.74634147
2017-12-15T14-42-48,1513345368151,0.7365854,-0.06341463,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368152,0.82439023,-0.034146342,0.592233,0.82439023
2017-12-15T14-42-48,1513345368153,0.71707314,-0.043902438,0.60194176,0.71707314
2017-12-15T14-42-48,1513345368154,0.74634147,-0.024390243,0.60194176,0.74634147
2017-12-15T14-42-48,1513345368155,0.7365854,-0.043902438,0.60194176,0.7365854
2017-12-15T14-42-48,1513345368156,0.75609756,-0.024390243,0.60194176,0.75609756
