time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-10T14-19-45,1515590385779,0.8829268,-0.014634146,0.4368932,0.8829268
2018-1-10T14-19-45,1515590385780,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385781,0.8829268,0.014634146,0.407767,0.8829268
2018-1-10T14-19-45,1515590385782,0.86341465,-0.024390243,0.4368932,0.86341465
2018-1-10T14-19-45,1515590385783,0.86341465,0.004878049,0.4368932,0.86341465
2018-1-10T14-19-45,1515590385784,0.86341465,-0.07317073,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385785,0.87317073,-0.014634146,0.407767,0.87317073
2018-1-10T14-19-45,1515590385786,0.87317073,-0.07317073,0.4368932,0.87317073
2018-1-10T14-19-45,1515590385787,0.87317073,-0.014634146,0.44660193,0.87317073
2018-1-10T14-19-45,1515590385788,0.87317073,-0.004878049,0.41747573,0.87317073
2018-1-10T14-19-45,1515590385789,0.86341465,-0.004878049,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385790,0.86341465,-0.014634146,0.3883495,0.86341465
2018-1-10T14-19-45,1515590385791,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385792,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385793,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385794,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385795,0.85365856,-0.014634146,0.407767,0.85365856
2018-1-10T14-19-45,1515590385796,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385797,0.8829268,-0.034146342,0.46601942,0.8829268
2018-1-10T14-19-45,1515590385798,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385799,0.85365856,-0.014634146,0.4368932,0.85365856
2018-1-10T14-19-45,1515590385800,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385801,0.86341465,-0.004878049,0.407767,0.86341465
2018-1-10T14-19-45,1515590385802,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385803,0.86341465,0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385804,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385805,0.85365856,-0.014634146,0.36893204,0.85365856
2018-1-10T14-19-45,1515590385806,0.85365856,-0.043902438,0.42718446,0.85365856
2018-1-10T14-19-45,1515590385807,0.86341465,-0.014634146,0.36893204,0.86341465
2018-1-10T14-19-45,1515590385808,0.84390247,-0.004878049,0.41747573,0.84390247
2018-1-10T14-19-45,1515590385809,0.7853659,-0.014634146,0.39805827,0.7853659
2018-1-10T14-19-45,1515590385810,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385811,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385812,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385813,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385814,0.87317073,-0.004878049,0.42718446,0.87317073
2018-1-10T14-19-45,1515590385815,0.84390247,-0.014634146,0.41747573,0.84390247
2018-1-10T14-19-45,1515590385816,0.85365856,-0.024390243,0.39805827,0.85365856
2018-1-10T14-19-45,1515590385817,0.84390247,-0.014634146,0.41747573,0.84390247
2018-1-10T14-19-45,1515590385818,0.86341465,-0.014634146,0.3883495,0.86341465
2018-1-10T14-19-45,1515590385819,0.86341465,-0.024390243,0.4368932,0.86341465
2018-1-10T14-19-45,1515590385820,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385821,0.86341465,-0.014634146,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385822,0.87317073,-0.014634146,0.41747573,0.87317073
2018-1-10T14-19-45,1515590385823,0.85365856,-0.014634146,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385824,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385825,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385826,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385827,0.9414634,-0.004878049,0.41747573,0.9414634
2018-1-10T14-19-45,1515590385828,0.85365856,0.004878049,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385829,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385830,0.86341465,-0.004878049,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385831,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385832,0.86341465,-0.07317073,0.39805827,0.86341465
2018-1-10T14-19-45,1515590385833,0.85365856,-0.004878049,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385834,0.86341465,-0.024390243,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385835,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385836,0.86341465,-0.034146342,0.42718446,0.86341465
2018-1-10T14-19-45,1515590385837,0.87317073,-0.034146342,0.407767,0.87317073
2018-1-10T14-19-45,1515590385838,0.87317073,-0.014634146,0.41747573,0.87317073
2018-1-10T14-19-45,1515590385839,0.86341465,-0.024390243,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385840,0.86341465,-0.004878049,0.39805827,0.86341465
2018-1-10T14-19-45,1515590385841,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385842,0.85365856,-0.11219512,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385843,0.9317073,-0.024390243,0.42718446,0.9317073
2018-1-10T14-19-45,1515590385844,0.87317073,0.06341463,0.407767,0.87317073
2018-1-10T14-19-45,1515590385845,0.85365856,-0.004878049,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385846,0.86341465,-0.014634146,0.39805827,0.86341465
2018-1-10T14-19-45,1515590385847,0.85365856,-0.034146342,0.42718446,0.85365856
2018-1-10T14-19-45,1515590385848,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385849,0.86341465,-0.004878049,0.407767,0.86341465
2018-1-10T14-19-45,1515590385850,0.86341465,-0.004878049,0.39805827,0.86341465
2018-1-10T14-19-45,1515590385851,0.87317073,-0.034146342,0.41747573,0.87317073
2018-1-10T14-19-45,1515590385852,0.86341465,-0.014634146,0.41747573,0.86341465
2018-1-10T14-19-45,1515590385853,0.85365856,-0.004878049,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385854,0.86341465,-0.014634146,0.407767,0.86341465
2018-1-10T14-19-45,1515590385855,0.87317073,-0.024390243,0.407767,0.87317073
2018-1-10T14-19-45,1515590385856,0.85365856,-0.004878049,0.41747573,0.85365856
2018-1-10T14-19-45,1515590385857,0.86341465,-0.014634146,0.407767,0.86341465
