time,timestamp,xAccel,yAccel,zAccel,xxx
2018-1-21T14-19-11,1516540751619,0.85365856,0.014634146,0.5048544,0.85365856
2018-1-21T14-19-11,1516540751620,0.84390247,-0.024390243,0.49514562,0.84390247
2018-1-21T14-19-11,1516540751621,0.85365856,-0.004878049,0.4854369,0.85365856
2018-1-21T14-19-11,1516540751622,0.84390247,-0.024390243,0.44660193,0.84390247
2018-1-21T14-19-11,1516540751623,0.85365856,-0.06341463,0.46601942,0.85365856
2018-1-21T14-19-11,1516540751624,0.85365856,-0.004878049,0.49514562,0.85365856
2018-1-21T14-19-11,1516540751625,0.86341465,-0.014634146,0.46601942,0.86341465
2018-1-21T14-19-11,1516540751626,0.85365856,-0.024390243,0.49514562,0.85365856
2018-1-21T14-19-11,1516540751627,0.8341463,-0.004878049,0.46601942,0.8341463
2018-1-21T14-19-11,1516540751628,0.85365856,-0.034146342,0.47572815,0.85365856
2018-1-21T14-19-11,1516540751629,0.85365856,-0.024390243,0.4854369,0.85365856
2018-1-21T14-19-11,1516540751630,0.84390247,-0.034146342,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751631,0.84390247,-0.004878049,0.5145631,0.84390247
2018-1-21T14-19-11,1516540751632,0.84390247,-0.014634146,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751633,0.84390247,-0.014634146,0.4563107,0.84390247
2018-1-21T14-19-11,1516540751634,0.8341463,-0.034146342,0.41747573,0.8341463
2018-1-21T14-19-11,1516540751635,0.85365856,-0.024390243,0.47572815,0.85365856
2018-1-21T14-19-11,1516540751636,0.84390247,0.014634146,0.4368932,0.84390247
2018-1-21T14-19-11,1516540751637,0.81463414,-0.014634146,0.4854369,0.81463414
2018-1-21T14-19-11,1516540751638,0.84390247,-0.024390243,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751639,0.84390247,-0.004878049,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751640,0.82439023,-0.004878049,0.4854369,0.82439023
2018-1-21T14-19-11,1516540751641,0.902439,-0.014634146,0.47572815,0.902439
2018-1-21T14-19-11,1516540751642,0.84390247,-0.07317073,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751643,0.86341465,-0.014634146,0.47572815,0.86341465
2018-1-21T14-19-11,1516540751644,0.84390247,-0.014634146,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751645,0.85365856,-0.024390243,0.4854369,0.85365856
2018-1-21T14-19-11,1516540751646,0.84390247,-0.004878049,0.5339806,0.84390247
2018-1-21T14-19-11,1516540751647,0.84390247,-0.014634146,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751648,0.85365856,-0.014634146,0.46601942,0.85365856
2018-1-21T14-19-11,1516540751649,0.86341465,-0.024390243,0.4854369,0.86341465
2018-1-21T14-19-11,1516540751650,0.84390247,0.004878049,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751651,0.85365856,-0.024390243,0.5145631,0.85365856
2018-1-21T14-19-11,1516540751652,0.8341463,-0.014634146,0.47572815,0.8341463
2018-1-21T14-19-11,1516540751653,0.85365856,-0.014634146,0.47572815,0.85365856
2018-1-21T14-19-11,1516540751654,0.8341463,-0.014634146,0.4854369,0.8341463
2018-1-21T14-19-11,1516540751655,0.84390247,-0.014634146,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751656,0.8341463,-0.014634146,0.47572815,0.8341463
2018-1-21T14-19-11,1516540751657,0.86341465,-0.024390243,0.47572815,0.86341465
2018-1-21T14-19-11,1516540751658,0.85365856,-0.034146342,0.47572815,0.85365856
2018-1-21T14-19-11,1516540751659,0.85365856,-0.004878049,0.46601942,0.85365856
2018-1-21T14-19-11,1516540751660,0.84390247,-0.024390243,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751661,0.84390247,-0.024390243,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751662,0.86341465,0.07317073,0.46601942,0.86341465
2018-1-21T14-19-11,1516540751663,0.85365856,-0.004878049,0.4854369,0.85365856
2018-1-21T14-19-11,1516540751664,0.84390247,0.004878049,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751665,0.86341465,-0.014634146,0.4854369,0.86341465
2018-1-21T14-19-11,1516540751666,0.81463414,-0.024390243,0.4854369,0.81463414
2018-1-21T14-19-11,1516540751667,0.84390247,-0.014634146,0.5048544,0.84390247
2018-1-21T14-19-11,1516540751668,0.84390247,-0.024390243,0.46601942,0.84390247
2018-1-21T14-19-11,1516540751669,0.85365856,0.06341463,0.46601942,0.85365856
2018-1-21T14-19-11,1516540751670,0.84390247,-0.014634146,0.47572815,0.84390247
2018-1-21T14-19-11,1516540751671,0.8341463,-0.004878049,0.4854369,0.8341463
